group	x	y	PANEL
1	-11.5675965052519	3991	1
1	-5.68064457667919	3989	1
1	-5.34961363048192	3988	1
1	-5.18145763897936	3983	1
1	-4.99930762641094	3981	1
1	-4.8993915104043	3978	1
1	-4.8439072813172	3975	1
1	-4.74681196159068	3973	1
1	-4.67581139405345	3970	1
1	-4.62739957738737	3968	1
1	-4.58406675690322	3967	1
1	-4.5288925231244	3961	1
1	-4.47788258257294	3960	1
1	-4.4455726685526	3958	1
1	-4.4053620036216	3954	1
1	-4.3868172593381	3952	1
1	-4.34159167709947	3949	1
1	-4.29822289963831	3948	1
1	-4.24398497136873	3947	1
1	-4.17513286159657	3949	1
1	-4.1291878745222	3945	1
1	-4.0434490014123	3944	1
1	-3.98056602842988	3940	1
1	-3.97274678293568	3934	1
1	-3.93110837914702	3932	1
1	-3.89169400866566	3934	1
1	-3.87962326034351	3929	1
1	-3.8669059769593	3924	1
1	-3.84342546303612	3919	1
1	-3.79017689035224	3918	1
1	-3.75256917742377	3917	1
1	-3.7485193125953	3908	1
1	-3.72780103866617	3907	1
1	-3.67528099284889	3906	1
1	-3.63489339282338	3905	1
1	-3.62607729917555	3904	1
1	-3.61224215618924	3904	1
1	-3.56671076516308	3903	1
1	-3.47558213546302	3902	1
1	-3.41728725128732	3911	1
1	-3.37974509388861	3913	1
1	-3.34135420582303	3907	1
1	-3.31685719143046	3906	1
1	-3.26547787361526	3896	1
1	-3.22550907004422	3891	1
1	-3.2039981835726	3882	1
1	-3.1768590794889	3872	1
1	-3.15261732344064	3867	1
1	-3.13521179900038	3853	1
1	-3.10665440769163	3849	1
1	-3.0801830167422	3848	1
1	-3.06856353902537	3843	1
1	-3.05908604347978	3840	1
1	-3.03322480264733	3839	1
1	-3.01060084759743	3837	1
1	-3.00816111959159	3836	1
1	-2.99604839926624	3832	1
1	-2.98372893056194	3828	1
1	-2.95084243221794	3824	1
1	-2.9069661154453	3821	1
1	-2.88866457395284	3820	1
1	-2.87724232211317	3822	1
1	-2.85792082229065	3821	1
1	-2.83911609941395	3823	1
1	-2.83457370464121	3818	1
1	-2.82999498800324	3815	1
1	-2.81078169602714	3813	1
1	-2.7783744017433	3812	1
1	-2.74730372518629	3805	1
1	-2.73064392914615	3796	1
1	-2.7246105681152	3804	1
1	-2.71693685360988	3802	1
1	-2.711826220983	3800	1
1	-2.7102589342812	3805	1
1	-2.70824561619672	3804	1
1	-2.70713349416103	3797	1
1	-2.70600726994331	3800	1
1	-2.70257086015052	3799	1
1	-2.69808155556583	3798	1
1	-2.6943345907168	3799	1
1	-2.67985952933592	3797	1
1	-2.6618054713223	3796	1
1	-2.6505646109951	3798	1
1	-2.64381287623589	3794	1
1	-2.64284733156402	3790	1
1	-2.63859620622254	3786	1
1	-2.63241485606521	3786	1
1	-2.6228734671574	3779	1
1	-2.61325766001439	3775	1
1	-2.60133841428262	3773	1
1	-2.58964963131765	3771	1
1	-2.57985604993115	3770	1
1	-2.57102327672131	3769	1
1	-2.56615704431111	3767	1
1	-2.56137187541164	3763	1
1	-2.55589917239198	3762	1
1	-2.54991969149156	3758	1
1	-2.54410914599584	3758	1
1	-2.5390628804317	3755	1
1	-2.53592439390709	3753	1
1	-2.53293884659032	3748	1
1	-2.53231664063817	3747	1
1	-2.5312174816313	3745	1
1	-2.53004144806702	3742	1
1	-2.5291309998029	3735	1
1	-2.52722892982052	3736	1
1	-2.52604721455221	3733	1
1	-2.5247194712232	3734	1
1	-2.51667943662772	3730	1
1	-2.50079170202004	3728	1
1	-2.48711494827028	3723	1
1	-2.47426078121317	3719	1
1	-2.46469619677374	3719	1
1	-2.45551657995329	3720	1
1	-2.44697633998684	3719	1
1	-2.44403765831011	3715	1
1	-2.43679333123679	3713	1
1	-2.42998112016118	3716	1
1	-2.40999302899897	3714	1
1	-2.39132064748496	3711	1
1	-2.38449194931773	3705	1
1	-2.37216810237367	3706	1
1	-2.35675114738123	3705	1
1	-2.34678722524508	3703	1
1	-2.34135190329666	3691	1
1	-2.33199124612284	3692	1
1	-2.32381433422148	3692	1
1	-2.31746312286826	3680	1
1	-2.30362189300831	3679	1
1	-2.27825985211824	3681	1
1	-2.26263696500789	3678	1
1	-2.25874156787871	3674	1
1	-2.25476160038287	3658	1
1	-2.24972966979955	3657	1
1	-2.24299854099828	3656	1
1	-2.23913365639043	3655	1
1	-2.23785179561221	3655	1
1	-2.23196121869427	3648	1
1	-2.22638143610625	3647	1
1	-2.22465937746062	3643	1
1	-2.22117106237763	3641	1
1	-2.21174333113777	3640	1
1	-2.20361113663553	3633	1
1	-2.19989103819884	3633	1
1	-2.18448484728217	3630	1
1	-2.16956754332736	3630	1
1	-2.15547355738984	3626	1
1	-2.14191702295893	3622	1
1	-2.13990862169405	3612	1
1	-2.13589478417524	3610	1
1	-2.12951243630026	3612	1
1	-2.11797525435456	3606	1
1	-2.10711394819228	3601	1
1	-2.10373522568812	3593	1
1	-2.09392649538195	3591	1
1	-2.08326375752987	3592	1
1	-2.07875052125388	3595	1
1	-2.06771856769036	3591	1
1	-2.05565552038416	3588	1
1	-2.04983867355505	3585	1
1	-2.04607709952342	3580	1
1	-2.04222365465545	3573	1
1	-2.03802513152795	3571	1
1	-2.03582045481405	3564	1
1	-2.02687800315645	3565	1
1	-2.01664664908677	3563	1
1	-2.0096373780393	3563	1
1	-2.00277966217231	3564	1
1	-2.00065347197706	3563	1
1	-1.99436055528414	3562	1
1	-1.9774705091238	3561	1
1	-1.9620509366085	3559	1
1	-1.95683967435201	3562	1
1	-1.95106948657529	3561	1
1	-1.94584080370023	3559	1
1	-1.93914469864984	3563	1
1	-1.93217898491914	3565	1
1	-1.92966590138539	3571	1
1	-1.92029136321318	3569	1
1	-1.90677877568473	3564	1
1	-1.89887941177255	3564	1
1	-1.89418449358041	3563	1
1	-1.88691612108059	3558	1
1	-1.87689007118947	3556	1
1	-1.86686420575269	3555	1
1	-1.86265303797265	3554	1
1	-1.8600748395268	3565	1
1	-1.85602518337843	3563	1
1	-1.85194183332911	3562	1
1	-1.84925900030249	3563	1
1	-1.84721961705951	3563	1
1	-1.84183901922831	3561	1
1	-1.83741238085664	3560	1
1	-1.82862682290931	3558	1
1	-1.81994612471545	3556	1
1	-1.81459054744058	3565	1
1	-1.79617924495679	3557	1
1	-1.77643691740294	3556	1
1	-1.76541550523569	3558	1
1	-1.75767202863483	3557	1
1	-1.75339634871692	3542	1
1	-1.74612781121907	3538	1
1	-1.74008404218825	3536	1
1	-1.73931280204471	3532	1
1	-1.73308079824985	3525	1
1	-1.72527982884347	3523	1
1	-1.7165997148173	3523	1
1	-1.7088519610246	3522	1
1	-1.70576436195747	3521	1
1	-1.70091599498145	3517	1
1	-1.69351575486753	3516	1
1	-1.68451018794595	3513	1
1	-1.6761215424957	3517	1
1	-1.65882493308669	3513	1
1	-1.64512533004485	3531	1
1	-1.63483840422996	3533	1
1	-1.61950122663739	3531	1
1	-1.61328587190198	3530	1
1	-1.61230785053261	3525	1
1	-1.61024320764871	3522	1
1	-1.60732086837044	3524	1
1	-1.60440898513072	3529	1
1	-1.59676567653077	3519	1
1	-1.58849112782255	3509	1
1	-1.58053862697659	3505	1
1	-1.57404979897117	3501	1
1	-1.57029286982493	3499	1
1	-1.56365774743965	3496	1
1	-1.55908448002263	3493	1
1	-1.55521835507691	3493	1
1	-1.55157014607962	3491	1
1	-1.54517836221682	3488	1
1	-1.52913719368715	3487	1
1	-1.51880052099732	3486	1
1	-1.50633641856137	3489	1
1	-1.49279841757836	3478	1
1	-1.48885015466059	3472	1
1	-1.48288315788398	3469	1
1	-1.46772700982018	3472	1
1	-1.45106438779478	3471	1
1	-1.44596197047152	3468	1
1	-1.43920282530482	3472	1
1	-1.4176748758668	3470	1
1	-1.4016680664063	3469	1
1	-1.39019863817688	3474	1
1	-1.37587247747443	3473	1
1	-1.3652521930521	3479	1
1	-1.35531549908081	3470	1
1	-1.34867372376402	3459	1
1	-1.34064937208782	3453	1
1	-1.33076602423485	3439	1
1	-1.30943154606527	3434	1
1	-1.2918124156847	3430	1
1	-1.28687779274157	3427	1
1	-1.28265155251989	3424	1
1	-1.27991544815052	3420	1
1	-1.27793477497526	3417	1
1	-1.27110845117586	3428	1
1	-1.26004051331242	3427	1
1	-1.25418729295744	3418	1
1	-1.24107676681274	3417	1
1	-1.21953505187438	3416	1
1	-1.20903624948573	3423	1
1	-1.20824162570353	3420	1
1	-1.19842387966188	3416	1
1	-1.18336663560169	3414	1
1	-1.17468523203876	3413	1
1	-1.16840362071041	3408	1
1	-1.16174387652448	3402	1
1	-1.15101409333313	3404	1
1	-1.14196918392603	3400	1
1	-1.13877489572082	3390	1
1	-1.134169928426	3381	1
1	-1.12750667112471	3379	1
1	-1.12322509649909	3374	1
1	-1.11752953742792	3372	1
1	-1.10927626986151	3376	1
1	-1.10494518450195	3373	1
1	-1.09653789585095	3366	1
1	-1.08199877276485	3362	1
1	-1.06957479406968	3354	1
1	-1.06243610608635	3345	1
1	-1.06075501494111	3335	1
1	-1.05848526871733	3324	1
1	-1.05486409339642	3322	1
1	-1.05214724879339	3307	1
1	-1.04840624890882	3300	1
1	-1.04430978913482	3294	1
1	-1.0400192362793	3289	1
1	-1.03564985627046	3287	1
1	-1.03231034096675	3277	1
1	-1.01611987232828	3273	1
1	-0.997872581591566	3268	1
1	-0.991984200581179	3267	1
1	-0.98851059552093	3262	1
1	-0.977696682293986	3259	1
1	-0.963733538864759	3255	1
1	-0.952053509194452	3254	1
1	-0.944504770730685	3233	1
1	-0.94327974958536	3231	1
1	-0.940775826806389	3229	1
1	-0.936096201453716	3245	1
1	-0.931834373665013	3230	1
1	-0.920229215925663	3227	1
1	-0.909518802772783	3229	1
1	-0.906966502858574	3243	1
1	-0.903902269834369	3238	1
1	-0.894405998839368	3229	1
1	-0.878695497513014	3226	1
1	-0.858520168363518	3217	1
1	-0.839015788130257	3215	1
1	-0.832122993593409	3210	1
1	-0.829976648348957	3208	1
1	-0.823231401350506	3220	1
1	-0.817934370353134	3215	1
1	-0.814355740115144	3214	1
1	-0.808544819685726	3218	1
1	-0.805477787545287	3217	1
1	-0.804594160645793	3219	1
1	-0.804319444243878	3215	1
1	-0.799979958641712	3204	1
1	-0.789741540684287	3211	1
1	-0.783573143827107	3206	1
1	-0.779234943747961	3200	1
1	-0.765945681982335	3192	1
1	-0.751202486779635	3189	1
1	-0.732547742872981	3201	1
1	-0.716605036402558	3194	1
1	-0.711170990984086	3183	1
1	-0.70845582361359	3195	1
1	-0.700257681202622	3197	1
1	-0.691132487837139	3185	1
1	-0.689747114805237	3175	1
1	-0.684515337628395	3166	1
1	-0.679524596748815	3173	1
1	-0.677404155467055	3166	1
1	-0.669785876119511	3167	1
1	-0.66203832100689	3166	1
1	-0.655833762398791	3157	1
1	-0.647793898307477	3148	1
1	-0.64301358089862	3134	1
1	-0.64113737619215	3114	1
1	-0.637808450679877	3109	1
1	-0.635335361901617	3104	1
1	-0.6321645632921	3098	1
1	-0.62882574295947	3084	1
1	-0.628117791711959	3089	1
1	-0.625213021454854	3088	1
1	-0.616926001347103	3087	1
1	-0.607022461164023	3083	1
1	-0.601507187430194	3080	1
1	-0.599177129975468	3079	1
1	-0.592691102838167	3075	1
1	-0.578870042033458	3073	1
1	-0.564974559238438	3069	1
1	-0.557846158713527	3056	1
1	-0.546278965764686	3047	1
1	-0.5354908095275	3049	1
1	-0.521147953823868	3042	1
1	-0.504945354125987	3042	1
1	-0.488323758845952	3041	1
1	-0.473246073253511	3035	1
1	-0.470107525340335	3027	1
1	-0.464986285125817	3021	1
1	-0.460313538829241	3036	1
1	-0.457845038660286	3023	1
1	-0.453336817568087	3019	1
1	-0.448924817526152	3016	1
1	-0.44608439326985	3008	1
1	-0.435857282616926	3016	1
1	-0.427615394080206	3013	1
1	-0.425936752710522	3006	1
1	-0.420786474281536	3004	1
1	-0.416771161233013	3000	1
1	-0.406709407294933	2998	1
1	-0.391301845611432	3018	1
1	-0.383171852476311	3014	1
1	-0.367591585499689	3007	1
1	-0.354084977230015	2998	1
1	-0.353208638807761	2997	1
1	-0.352142106800225	2994	1
1	-0.346355541575139	2993	1
1	-0.339283542133603	2989	1
1	-0.335838283471737	2981	1
1	-0.330936214656576	2977	1
1	-0.325156687157631	2976	1
1	-0.31668749555495	2972	1
1	-0.310633221879292	2973	1
1	-0.310140760697005	2968	1
1	-0.30456789579976	2966	1
1	-0.297714281307523	2961	1
1	-0.292112962109453	2971	1
1	-0.282770866635818	2970	1
1	-0.27184410672374	2971	1
1	-0.257375835790415	2970	1
1	-0.242468883016611	2968	1
1	-0.236193768114246	2951	1
1	-0.235309774501531	2958	1
1	-0.233348043322536	2956	1
1	-0.231076814670185	2941	1
1	-0.229618660754661	2936	1
1	-0.225532800718923	2938	1
1	-0.21925020000385	2939	1
1	-0.214954896221403	2921	1
1	-0.213217905753456	2917	1
1	-0.211652928306133	2913	1
1	-0.209030724349983	2906	1
1	-0.20101017398594	2898	1
1	-0.19327801185653	2896	1
1	-0.189829184352795	2891	1
1	-0.183265153679026	2887	1
1	-0.176225617233816	2888	1
1	-0.164468967113728	2892	1
1	-0.155470827661221	2877	1
1	-0.154628968568987	2875	1
1	-0.151553698189225	2874	1
1	-0.146980328849539	2872	1
1	-0.141111916279334	2861	1
1	-0.133866250035715	2861	1
1	-0.126305770653783	2864	1
1	-0.121027075074779	2860	1
1	-0.119393306137115	2856	1
1	-0.113626367653985	2849	1
1	-0.1052237192955	2833	1
1	-0.0974777857629201	2832	1
1	-0.092298511228734	2845	1
1	-0.0816810736038827	2840	1
1	-0.0707679336568194	2835	1
1	-0.0687403326609579	2829	1
1	-0.0636144684276379	2822	1
1	-0.0593671207184148	2814	1
1	-0.0588994320506302	2821	1
1	-0.0552730619412714	2820	1
1	-0.0494396228510894	2816	1
1	-0.045755891652453	2811	1
1	-0.0294041841530222	2797	1
1	-0.0105359837353798	2793	1
1	0.00043873608731726	2798	1
1	0.0080608730597338	2797	1
1	0.00929372054321398	2786	1
1	0.0123700021745039	2786	1
1	0.015815670603271	2746	1
1	0.0186200816051048	2739	1
1	0.0219176779978096	2732	1
1	0.0249453536008026	2731	1
1	0.0274062047563279	2725	1
1	0.0356858736440668	2723	1
1	0.0566238433258417	2716	1
1	0.0713111557067112	2716	1
1	0.0739170531377575	2713	1
1	0.0787507360795323	2697	1
1	0.0901194551417364	2693	1
1	0.101225788564173	2687	1
1	0.111738069352945	2683	1
1	0.124540517317929	2682	1
1	0.13313790901832	2678	1
1	0.142021927515601	2681	1
1	0.148914640005047	2679	1
1	0.162584930957054	2676	1
1	0.179549278016947	2668	1
1	0.186556115004821	2668	1
1	0.190799754076188	2658	1
1	0.193833726173506	2654	1
1	0.199772618022209	2653	1
1	0.20691225741353	2647	1
1	0.216859856264494	2640	1
1	0.225541811118344	2623	1
1	0.228275398601932	2622	1
1	0.233944004907889	2625	1
1	0.242558903119482	2622	1
1	0.24827715914064	2615	1
1	0.249432270677062	2616	1
1	0.251499682235829	2614	1
1	0.262096613802299	2609	1
1	0.270756140257046	2605	1
1	0.271010412687783	2602	1
1	0.275925617241887	2589	1
1	0.280719454389835	2587	1
1	0.283787434696883	2577	1
1	0.286915176506584	2575	1
1	0.288656593685892	2567	1
1	0.292231123834828	2565	1
1	0.294812348789229	2549	1
1	0.311797548332779	2542	1
1	0.328720765306662	2532	1
1	0.331813422479995	2530	1
1	0.337837352424318	2524	1
1	0.341878776426238	2524	1
1	0.342701698201127	2520	1
1	0.344057854297673	2509	1
1	0.347662337725476	2517	1
1	0.352052510436476	2511	1
1	0.355046742224933	2494	1
1	0.363054242265513	2493	1
1	0.370251422886521	2481	1
1	0.373229570804441	2475	1
1	0.377766475310497	2464	1
1	0.383820797130282	2460	1
1	0.388362432235069	2455	1
1	0.391856669558375	2458	1
1	0.400514757016069	2457	1
1	0.41511880095413	2452	1
1	0.425170043809477	2448	1
1	0.426337369551407	2447	1
1	0.429037347643526	2447	1
1	0.433588704969273	2445	1
1	0.446767397724086	2443	1
1	0.462460334499117	2437	1
1	0.469901815966227	2430	1
1	0.473159134701307	2414	1
1	0.482834651956995	2430	1
1	0.492313948940744	2423	1
1	0.494207240396925	2420	1
1	0.496882716602002	2420	1
1	0.502659016700206	2419	1
1	0.511920265434735	2406	1
1	0.517150011606452	2398	1
1	0.518468648052209	2385	1
1	0.522130473781322	2379	1
1	0.52675880225284	2364	1
1	0.53013829096112	2336	1
1	0.533660141637017	2345	1
1	0.536087083949562	2340	1
1	0.546498060229187	2338	1
1	0.561460483803913	2336	1
1	0.568574130372489	2335	1
1	0.57050928191911	2333	1
1	0.581457676643551	2330	1
1	0.596959884892918	2329	1
1	0.610883866171224	2329	1
1	0.633804351886334	2318	1
1	0.650301254309015	2340	1
1	0.653238324323653	2334	1
1	0.656493622685456	2322	1
1	0.662643144548256	2320	1
1	0.668029508966584	2319	1
1	0.671400236560199	2331	1
1	0.672839997384778	2328	1
1	0.676234124507195	2336	1
1	0.680300648748679	2324	1
1	0.682410765871865	2318	1
1	0.691691748076854	2310	1
1	0.700502053856858	2305	1
1	0.702363734083871	2304	1
1	0.712618154754126	2302	1
1	0.72284393910339	2301	1
1	0.73115595848542	2319	1
1	0.741846102727671	2305	1
1	0.75055078065069	2288	1
1	0.756732007543174	2292	1
1	0.759433270908374	2275	1
1	0.776364914715721	2282	1
1	0.79733888589045	2281	1
1	0.809785211725247	2241	1
1	0.819178073977747	2257	1
1	0.83512269289289	2256	1
1	0.85392469424817	2249	1
1	0.862582990799254	2239	1
1	0.86627121728915	2223	1
1	0.871226372826853	2209	1
1	0.88012348882812	2206	1
1	0.892207739784174	2209	1
1	0.903396849184776	2213	1
1	0.90760244740616	2208	1
1	0.913861039379739	2206	1
1	0.920568221316839	2221	1
1	0.936598572182565	2221	1
1	0.952476016904707	2225	1
1	0.953576817026934	2211	1
1	0.958937331677599	2209	1
1	0.972742554444233	2198	1
1	0.987595025020065	2196	1
1	0.994985750569324	2194	1
1	1.0054022140878	2197	1
1	1.01519057754128	2181	1
1	1.01613358750666	2177	1
1	1.01763604580768	2172	1
1	1.02115867017614	2161	1
1	1.02881512475558	2159	1
1	1.03846280993895	2155	1
1	1.05154478831441	2153	1
1	1.06066580169924	2152	1
1	1.06349300761211	2151	1
1	1.07443364614786	2149	1
1	1.08468066981563	2148	1
1	1.08633307396458	2141	1
1	1.08853710544252	2141	1
1	1.09289002084642	2144	1
1	1.09805032398395	2144	1
1	1.10455901677648	2143	1
1	1.11723683840711	2135	1
1	1.12725220936683	2134	1
1	1.12936735533759	2142	1
1	1.13283624720871	2142	1
1	1.13546140371989	2141	1
1	1.14120585267386	2153	1
1	1.14958944600707	2156	1
1	1.1537115338204	2146	1
1	1.15830801320377	2148	1
1	1.16233452131126	2147	1
1	1.16469701295196	2145	1
1	1.17066569196266	2143	1
1	1.17647779954374	2141	1
1	1.17961537306516	2145	1
1	1.18500870212475	2144	1
1	1.18953359365611	2139	1
1	1.19295769769569	2135	1
1	1.19746317604289	2134	1
1	1.20201889305599	2128	1
1	1.20594320124364	2107	1
1	1.21353081331437	2102	1
1	1.22646410144672	2106	1
1	1.23649507572854	2097	1
1	1.24110961495147	2093	1
1	1.2466563335209	2103	1
1	1.25187753633237	2094	1
1	1.25592169959243	2054	1
1	1.2635123187849	2051	1
1	1.26786160114291	2050	1
1	1.2725316212826	2034	1
1	1.28702769881423	2032	1
1	1.29720588461047	2031	1
1	1.30056959482447	2026	1
1	1.30573216118859	2020	1
1	1.30931196345862	2024	1
1	1.31170028051242	2023	1
1	1.31697203322568	2021	1
1	1.32677576266335	2019	1
1	1.33258485498367	2007	1
1	1.34122273800527	1987	1
1	1.3495149361171	1985	1
1	1.35395162976229	1984	1
1	1.35851893221818	1980	1
1	1.36136105970162	1971	1
1	1.3643198730598	1970	1
1	1.36530489060298	1969	1
1	1.36616842730969	1968	1
1	1.36808823857668	1960	1
1	1.37046336813887	1959	1
1	1.37288595676651	1941	1
1	1.37754094277205	1940	1
1	1.38146013751268	1939	1
1	1.38294866872405	1938	1
1	1.38693285841973	1935	1
1	1.39078803158283	1934	1
1	1.39554076611854	1920	1
1	1.40183782301021	1928	1
1	1.40408488438814	1924	1
1	1.40987148779395	1915	1
1	1.41567011605348	1912	1
1	1.41687560595754	1896	1
1	1.42080725470759	1895	1
1	1.42488766217676	1894	1
1	1.42762603105646	1886	1
1	1.4295239166269	1883	1
1	1.43172302003995	1871	1
1	1.43441060844951	1853	1
1	1.43755187776193	1849	1
1	1.44453614776201	1848	1
1	1.45500297257184	1824	1
1	1.46641079658756	1824	1
1	1.4825816080526	1822	1
1	1.50479651958363	1819	1
1	1.51891454859379	1817	1
1	1.52399620464077	1811	1
1	1.52791247031951	1803	1
1	1.53144621168354	1789	1
1	1.53410932381873	1775	1
1	1.53552261219236	1773	1
1	1.54034284367454	1771	1
1	1.54876241773891	1775	1
1	1.55403026320239	1763	1
1	1.55533760057017	1762	1
1	1.55917884616131	1761	1
1	1.56285434104329	1761	1
1	1.5673698235791	1756	1
1	1.57934349648858	1754	1
1	1.58946648033708	1753	1
1	1.60468895005598	1751	1
1	1.62539003792726	1746	1
1	1.64186020160038	1746	1
1	1.65617763057731	1744	1
1	1.66253104904787	1743	1
1	1.67875857168049	1741	1
1	1.69695231715966	1736	1
1	1.70100390585585	1748	1
1	1.7070089776191	1745	1
1	1.71170663032117	1737	1
1	1.71354779454981	1735	1
1	1.72201869091682	1695	1
1	1.72921977825479	1694	1
1	1.73554501323084	1693	1
1	1.74208500031885	1691	1
1	1.74281216756696	1689	1
1	1.74492163918083	1688	1
1	1.75016851960342	1687	1
1	1.75349478051269	1704	1
1	1.75388810362176	1664	1
1	1.75587308461955	1661	1
1	1.75779386321689	1660	1
1	1.76081246370249	1653	1
1	1.76395908420523	1652	1
1	1.76445410569532	1649	1
1	1.77304415450248	1644	1
1	1.782888987691	1638	1
1	1.78807388765721	1636	1
1	1.79242906117677	1634	1
1	1.79632685144854	1632	1
1	1.80195067222797	1628	1
1	1.8056834129998	1627	1
1	1.80881196077599	1623	1
1	1.81144481415399	1622	1
1	1.81444485973035	1621	1
