colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	1	1	initial	initial	-10	#00BFC4
#F8766D	1	1	improved	improved	-10	#F8766D
#00BFC4	1	1	initial	initial	-9.8	#00BFC4
#F8766D	1	1	improved	improved	-9.8	#F8766D
#00BFC4	1	1	initial	initial	-9.6	#00BFC4
#F8766D	1	1	improved	improved	-9.6	#F8766D
#00BFC4	1	1	initial	initial	-9.4	#00BFC4
#F8766D	1	1	improved	improved	-9.4	#F8766D
#00BFC4	1	1	initial	initial	-9.2	#00BFC4
#F8766D	1	1	improved	improved	-9.2	#F8766D
#00BFC4	1	1	initial	initial	-9	#00BFC4
#F8766D	1	1	improved	improved	-9	#F8766D
#00BFC4	1	1	initial	initial	-8.8	#00BFC4
#F8766D	1	1	improved	improved	-8.8	#F8766D
#00BFC4	1	1	initial	initial	-8.6	#00BFC4
#F8766D	1	1	improved	improved	-8.6	#F8766D
#00BFC4	1	1	initial	initial	-8.4	#00BFC4
#F8766D	1	1	improved	improved	-8.4	#F8766D
#00BFC4	1	1	initial	initial	-8.2	#00BFC4
#F8766D	1	1	improved	improved	-8.2	#F8766D
#00BFC4	1	1	initial	initial	-8	#00BFC4
#F8766D	1	1	improved	improved	-8	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-7.8	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-7.8	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-7.6	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-7.6	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-7.4	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-7.4	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-7.2	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-7.2	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-7	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-7	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-6.8	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-6.8	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-6.6	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-6.6	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-6.4	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-6.4	#F8766D
#00BFC4	0.997023809523809	1	initial	initial	-6.2	#00BFC4
#F8766D	0.997023809523809	1	improved	improved	-6.2	#F8766D
#00BFC4	0.964285714285714	1	initial	initial	-6	#00BFC4
#F8766D	0.964285714285714	1	improved	improved	-6	#F8766D
#00BFC4	0.946428571428571	1	initial	initial	-5.8	#00BFC4
#F8766D	0.946428571428571	1	improved	improved	-5.8	#F8766D
#00BFC4	0.907738095238095	1	initial	initial	-5.6	#00BFC4
#F8766D	0.907738095238095	1	improved	improved	-5.6	#F8766D
#00BFC4	0.895833333333333	1	initial	initial	-5.4	#00BFC4
#F8766D	0.895833333333333	1	improved	improved	-5.4	#F8766D
#00BFC4	0.875	1	initial	initial	-5.2	#00BFC4
#F8766D	0.875	1	improved	improved	-5.2	#F8766D
#00BFC4	0.87202380952381	1	initial	initial	-5	#00BFC4
#F8766D	0.87202380952381	1	improved	improved	-5	#F8766D
#00BFC4	0.869047619047619	1	initial	initial	-4.8	#00BFC4
#F8766D	0.869047619047619	1	improved	improved	-4.8	#F8766D
#00BFC4	0.869047619047619	1	initial	initial	-4.6	#00BFC4
#F8766D	0.869047619047619	1	improved	improved	-4.6	#F8766D
#00BFC4	0.869047619047619	1	initial	initial	-4.4	#00BFC4
#F8766D	0.869047619047619	1	improved	improved	-4.4	#F8766D
#00BFC4	0.866071428571429	1	initial	initial	-4.2	#00BFC4
#F8766D	0.866071428571429	1	improved	improved	-4.2	#F8766D
#00BFC4	0.839285714285714	1	initial	initial	-4	#00BFC4
#F8766D	0.839285714285714	1	improved	improved	-4	#F8766D
#00BFC4	0.761904761904762	1	initial	initial	-3.8	#00BFC4
#F8766D	0.761904761904762	1	improved	improved	-3.8	#F8766D
#00BFC4	0.74702380952381	1	initial	initial	-3.6	#00BFC4
#F8766D	0.74702380952381	1	improved	improved	-3.6	#F8766D
#00BFC4	0.705357142857143	1	initial	initial	-3.4	#00BFC4
#F8766D	0.705357142857143	1	improved	improved	-3.4	#F8766D
#00BFC4	0.669642857142857	1	initial	initial	-3.2	#00BFC4
#F8766D	0.669642857142857	1	improved	improved	-3.2	#F8766D
#00BFC4	0.630952380952381	1	initial	initial	-3	#00BFC4
#F8766D	0.630952380952381	1	improved	improved	-3	#F8766D
#00BFC4	0.601190476190476	1	initial	initial	-2.8	#00BFC4
#F8766D	0.601190476190476	1	improved	improved	-2.8	#F8766D
#00BFC4	0.586309523809524	1	initial	initial	-2.6	#00BFC4
#F8766D	0.595238095238095	1	improved	improved	-2.6	#F8766D
#00BFC4	0.586309523809524	1	initial	initial	-2.4	#00BFC4
#F8766D	0.586309523809524	1	improved	improved	-2.4	#F8766D
#00BFC4	0.5	1	initial	initial	-2.2	#00BFC4
#F8766D	0.5	1	improved	improved	-2.2	#F8766D
#00BFC4	0.440476190476191	1	initial	initial	-2	#00BFC4
#F8766D	0.440476190476191	1	improved	improved	-2	#F8766D
#00BFC4	0.389880952380952	1	initial	initial	-1.8	#00BFC4
#F8766D	0.389880952380952	1	improved	improved	-1.8	#F8766D
#00BFC4	0.360119047619048	1	initial	initial	-1.6	#00BFC4
#F8766D	0.354166666666667	1	improved	improved	-1.6	#F8766D
#00BFC4	0.324404761904762	1	initial	initial	-1.4	#00BFC4
#F8766D	0.324404761904762	1	improved	improved	-1.4	#F8766D
#00BFC4	0.258928571428571	1	initial	initial	-1.2	#00BFC4
#F8766D	0.267857142857143	1	improved	improved	-1.2	#F8766D
#00BFC4	0.223214285714286	1	initial	initial	-1	#00BFC4
#F8766D	0.223214285714286	1	improved	improved	-1	#F8766D
#00BFC4	0.139880952380952	1	initial	initial	-0.799999999999999	#00BFC4
#F8766D	0.148809523809524	1	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.110119047619048	1	initial	initial	-0.6	#00BFC4
#F8766D	0.110119047619048	1	improved	improved	-0.6	#F8766D
#00BFC4	0.0625	1	initial	initial	-0.399999999999999	#00BFC4
#F8766D	0.0625	1	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.0267857142857143	1	initial	initial	-0.199999999999999	#00BFC4
#F8766D	0.0238095238095238	1	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.00892857142857143	1	initial	initial	0	#00BFC4
#F8766D	0.0119047619047619	1	improved	improved	0	#F8766D
#00BFC4	0.00892857142857143	0.846153846153846	initial	initial	0.200000000000001	#00BFC4
#F8766D	0.00297619047619048	0.846153846153846	improved	improved	0.200000000000001	#F8766D
#00BFC4	0.00297619047619048	0.769230769230769	initial	initial	0.4	#00BFC4
#F8766D	0.00297619047619048	0.769230769230769	improved	improved	0.4	#F8766D
#00BFC4	0	0.717948717948718	initial	initial	0.600000000000001	#00BFC4
#F8766D	0	0.717948717948718	improved	improved	0.600000000000001	#F8766D
#00BFC4	0.00297619047619048	0.67948717948718	initial	initial	0.800000000000001	#00BFC4
#F8766D	0.00297619047619048	0.67948717948718	improved	improved	0.800000000000001	#F8766D
#00BFC4	0.00297619047619048	0.641025641025641	initial	initial	1	#00BFC4
#F8766D	0.00297619047619048	0.641025641025641	improved	improved	1	#F8766D
#00BFC4	0.0803571428571429	0.602564102564103	initial	initial	1.2	#00BFC4
#F8766D	0.0803571428571429	0.602564102564103	improved	improved	1.2	#F8766D
#00BFC4	0.0803571428571429	0.551282051282051	initial	initial	1.4	#00BFC4
#F8766D	0.0803571428571429	0.551282051282051	improved	improved	1.4	#F8766D
#00BFC4	0.119047619047619	0.346153846153846	initial	initial	1.6	#00BFC4
#F8766D	0.119047619047619	0.346153846153846	improved	improved	1.6	#F8766D
#00BFC4	0.119047619047619	0.282051282051282	initial	initial	1.8	#00BFC4
#F8766D	0.119047619047619	0.282051282051282	improved	improved	1.8	#F8766D
#00BFC4	0.154761904761905	0.256410256410256	initial	initial	2	#00BFC4
#F8766D	0.154761904761905	0.256410256410256	improved	improved	2	#F8766D
#00BFC4	0.116071428571429	0.243589743589744	initial	initial	2.2	#00BFC4
#F8766D	0.116071428571429	0.243589743589744	improved	improved	2.2	#F8766D
#00BFC4	0.0773809523809524	0.243589743589744	initial	initial	2.4	#00BFC4
#F8766D	0.0773809523809524	0.243589743589744	improved	improved	2.4	#F8766D
#00BFC4	0.0773809523809524	0.128205128205128	initial	initial	2.6	#00BFC4
#F8766D	0.0773809523809524	0.128205128205128	improved	improved	2.6	#F8766D
#00BFC4	0.0773809523809524	0.102564102564103	initial	initial	2.8	#00BFC4
#F8766D	0.0773809523809524	0.102564102564103	improved	improved	2.8	#F8766D
#00BFC4	0.0386904761904762	0.0769230769230769	initial	initial	3	#00BFC4
#F8766D	0.0386904761904762	0.0769230769230769	improved	improved	3	#F8766D
#00BFC4	0.0386904761904762	0.0769230769230769	initial	initial	3.2	#00BFC4
#F8766D	0.0386904761904762	0.0769230769230769	improved	improved	3.2	#F8766D
#00BFC4	0.0386904761904762	0.0256410256410256	initial	initial	3.4	#00BFC4
#F8766D	0.0386904761904762	0.0384615384615385	improved	improved	3.4	#F8766D
