colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-10	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-10	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-9.8	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-9.8	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-9.6	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-9.6	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-9.4	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-9.4	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-9.2	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-9.2	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-9	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-9	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-8.8	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-8.8	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-8.6	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-8.6	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-8.4	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-8.4	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-8.2	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-8.2	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-8	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-8	#F8766D
#00BFC4	0.998628257887517	0.998148148148148	initial	initial	-7.8	#00BFC4
#F8766D	0.998628257887517	0.998148148148148	improved	improved	-7.8	#F8766D
#00BFC4	0.997256515775034	0.998148148148148	initial	initial	-7.6	#00BFC4
#F8766D	0.997256515775034	0.998148148148148	improved	improved	-7.6	#F8766D
#00BFC4	0.997256515775034	0.998148148148148	initial	initial	-7.4	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-7.4	#F8766D
#00BFC4	0.995884773662551	0.998148148148148	initial	initial	-7.2	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-7.2	#F8766D
#00BFC4	0.995884773662551	0.998148148148148	initial	initial	-7	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-7	#F8766D
#00BFC4	0.995884773662551	0.998148148148148	initial	initial	-6.8	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-6.8	#F8766D
#00BFC4	0.993141289437586	0.998148148148148	initial	initial	-6.6	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-6.6	#F8766D
#00BFC4	0.989026063100137	0.998148148148148	initial	initial	-6.4	#00BFC4
#F8766D	0.995884773662551	0.998148148148148	improved	improved	-6.4	#F8766D
#00BFC4	0.989026063100137	0.998148148148148	initial	initial	-6.2	#00BFC4
#F8766D	0.991769547325103	0.998148148148148	improved	improved	-6.2	#F8766D
#00BFC4	0.984910836762689	0.998148148148148	initial	initial	-6	#00BFC4
#F8766D	0.989026063100137	0.998148148148148	improved	improved	-6	#F8766D
#00BFC4	0.984910836762689	0.998148148148148	initial	initial	-5.8	#00BFC4
#F8766D	0.982167352537723	0.998148148148148	improved	improved	-5.8	#F8766D
#00BFC4	0.984910836762689	0.998148148148148	initial	initial	-5.6	#00BFC4
#F8766D	0.982167352537723	0.998148148148148	improved	improved	-5.6	#F8766D
#00BFC4	0.983539094650206	0.998148148148148	initial	initial	-5.4	#00BFC4
#F8766D	0.982167352537723	0.998148148148148	improved	improved	-5.4	#F8766D
#00BFC4	0.982167352537723	0.998148148148148	initial	initial	-5.2	#00BFC4
#F8766D	0.982167352537723	0.998148148148148	improved	improved	-5.2	#F8766D
#00BFC4	0.98079561042524	0.998148148148148	initial	initial	-5	#00BFC4
#F8766D	0.979423868312757	0.998148148148148	improved	improved	-5	#F8766D
#00BFC4	0.98079561042524	0.998148148148148	initial	initial	-4.8	#00BFC4
#F8766D	0.979423868312757	0.998148148148148	improved	improved	-4.8	#F8766D
#00BFC4	0.979423868312757	0.996296296296296	initial	initial	-4.6	#00BFC4
#F8766D	0.979423868312757	0.998148148148148	improved	improved	-4.6	#F8766D
#00BFC4	0.978052126200274	0.996296296296296	initial	initial	-4.4	#00BFC4
#F8766D	0.978052126200274	0.998148148148148	improved	improved	-4.4	#F8766D
#00BFC4	0.973936899862826	0.992592592592593	initial	initial	-4.2	#00BFC4
#F8766D	0.976680384087791	0.992592592592593	improved	improved	-4.2	#F8766D
