group	x	y	PANEL
1	-11.5675965052519	52	1
1	0.937668327852965	51	1
1	1.0218697286409	50	1
1	1.07682818395957	49	1
1	1.13132407712473	48	1
1	1.23711563650143	47	1
1	1.41060178116587	46	1
1	1.67348614466444	45	1
1	1.975249782809	45	1
1	2.14347188249931	44	1
1	2.19346614195698	43	1
1	2.27255922541767	42	1
1	2.46180767030662	41	1
1	2.5960177043841	40	1
1	2.62323144788127	39	1
1	2.75788464771369	38	1
1	2.881244433461	37	1
1	2.89611068418021	36	1
1	3.01257072678386	35	1
1	3.26532979138345	34	1
1	3.4316580517582	34	1
1	3.48655161333162	33	1
1	3.5858029241801	33	1
1	3.72446990011576	33	1
1	3.79822444137928	32	1
1	3.98037469925998	31	1
1	4.31089675333416	30	1
1	4.51610656001639	29	1
1	4.60658983895094	30	1
1	4.71303950398291	29	1
1	4.78959292269872	27	1
1	4.80635047804495	25	1
1	4.82222911971639	23	1
1	4.82963971892275	21	1
1	4.83072250855331	19	1
1	4.83719894135282	17	1
1	4.84736053332962	15	1
1	4.85255854403871	13	1
1	4.86323519917008	11	1
1	4.8729697022943	9	1
1	4.87744251966408	7	1
1	4.89181852399172	5	1
1	4.9039437712356	4	1
1	4.90900918769094	3	1
1	4.91411462591208	3	1
1	4.96072718875704	3	1
1	5.04110967110745	3	1
1	5.09323857041033	3	1
1	5.11875556653897	3	1
1	5.14211535228629	3	1
1	5.18363192800578	3	1
1	5.25008837584957	3	1
1	5.80242597195181	3	1
1	6.36256232556201	4	1
1	6.45563862037388	3	1
1	6.81650491063954	2	1
1	7.18778218577842	1	1
1	20.7195266102907	0	1
2	-11.5675965052519	0	1
2	0.937668327852965	0	1
2	1.0218697286409	0	1
2	1.07682818395957	0	1
2	1.13132407712473	0	1
2	1.23711563650143	0	1
2	1.41060178116587	0	1
2	1.67348614466444	0	1
2	1.975249782809	1	1
2	2.14347188249931	1	1
2	2.19346614195698	1	1
2	2.27255922541767	1	1
2	2.46180767030662	1	1
2	2.5960177043841	1	1
2	2.62323144788127	1	1
2	2.75788464771369	1	1
2	2.881244433461	1	1
2	2.89611068418021	1	1
2	3.01257072678386	1	1
2	3.26532979138345	1	1
2	3.4316580517582	2	1
2	3.48655161333162	2	1
2	3.5858029241801	3	1
2	3.72446990011576	4	1
2	3.79822444137928	4	1
2	3.98037469925998	4	1
2	4.31089675333416	4	1
2	4.51610656001639	3	1
2	4.60658983895094	3	1
2	4.71303950398291	3	1
2	4.78959292269872	3	1
2	4.80635047804495	3	1
2	4.82222911971639	3	1
2	4.82963971892275	3	1
2	4.83072250855331	3	1
2	4.83719894135282	3	1
2	4.84736053332962	3	1
2	4.85255854403871	3	1
2	4.86323519917008	3	1
2	4.8729697022943	3	1
2	4.87744251966408	3	1
2	4.89181852399172	3	1
2	4.9039437712356	3	1
2	4.90900918769094	4	1
2	4.91411462591208	5	1
2	4.96072718875704	6	1
2	5.04110967110745	7	1
2	5.09323857041033	8	1
2	5.11875556653897	9	1
2	5.14211535228629	10	1
2	5.18363192800578	11	1
2	5.25008837584957	12	1
2	5.80242597195181	13	1
2	6.36256232556201	13	1
2	6.45563862037388	13	1
2	6.81650491063954	13	1
2	7.18778218577842	13	1
2	20.7195266102907	13	1
3	-11.5675965052519	52	1
3	0.937668327852965	51	1
3	1.0218697286409	50	1
3	1.07682818395957	49	1
3	1.13132407712473	48	1
3	1.23711563650143	47	1
3	1.41060178116587	46	1
3	1.67348614466444	45	1
3	1.975249782809	46	1
3	2.14347188249931	45	1
3	2.19346614195698	44	1
3	2.27255922541767	43	1
3	2.46180767030662	42	1
3	2.5960177043841	41	1
3	2.62323144788127	40	1
3	2.75788464771369	39	1
3	2.881244433461	38	1
3	2.89611068418021	37	1
3	3.01257072678386	36	1
3	3.26532979138345	35	1
3	3.4316580517582	36	1
3	3.48655161333162	35	1
3	3.5858029241801	36	1
3	3.72446990011576	37	1
3	3.79822444137928	36	1
3	3.98037469925998	35	1
3	4.31089675333416	34	1
3	4.51610656001639	32	1
3	4.60658983895094	33	1
3	4.71303950398291	32	1
3	4.78959292269872	30	1
3	4.80635047804495	28	1
3	4.82222911971639	26	1
3	4.82963971892275	24	1
3	4.83072250855331	22	1
3	4.83719894135282	20	1
3	4.84736053332962	18	1
3	4.85255854403871	16	1
3	4.86323519917008	14	1
3	4.8729697022943	12	1
3	4.87744251966408	10	1
3	4.89181852399172	8	1
3	4.9039437712356	7	1
3	4.90900918769094	7	1
3	4.91411462591208	8	1
3	4.96072718875704	9	1
