x	y	key	showSelected1	PANEL	group
-3.5275329403395	13	1	ATAC_JV_adipose/1	1	1
-3.52146134867354	13	1	ATAC_JV_adipose/1	1	1
-3.51399113961456	13	1	ATAC_JV_adipose/1	1	1
-3.51010273231515	13	1	ATAC_JV_adipose/1	1	1
-3.49226495567472	13	1	ATAC_JV_adipose/1	1	1
-3.46169497354766	14	1	ATAC_JV_adipose/1	1	1
-3.42920525304539	14	1	ATAC_JV_adipose/1	1	1
-3.40910443983847	14	1	ATAC_JV_adipose/1	1	1
-3.40662632891716	14	1	ATAC_JV_adipose/1	1	1
-3.40208231215141	14	1	ATAC_JV_adipose/1	1	1
-3.36414539792607	14	1	ATAC_JV_adipose/1	1	1
-3.32792102002319	14	1	ATAC_JV_adipose/1	1	1
-3.32684102310981	14	1	ATAC_JV_adipose/1	1	1
-3.32218164610434	15	1	ATAC_JV_adipose/1	1	1
-3.31497298571362	15	1	ATAC_JV_adipose/1	1	1
-3.30276944737772	15	1	ATAC_JV_adipose/1	1	1
-3.29120876736492	15	1	ATAC_JV_adipose/1	1	1
-3.28777853442564	15	1	ATAC_JV_adipose/1	1	1
-3.28387685400199	15	1	ATAC_JV_adipose/1	1	1
-3.27670614708913	15	1	ATAC_JV_adipose/1	1	1
-3.26695861163248	15	1	ATAC_JV_adipose/1	1	1
-3.26028626473015	15	1	ATAC_JV_adipose/1	1	1
-3.25133534913281	15	1	ATAC_JV_adipose/1	1	1
-3.23969678471717	15	1	ATAC_JV_adipose/1	1	1
-3.23041707431328	15	1	ATAC_JV_adipose/1	1	1
-3.21997074025857	15	1	ATAC_JV_adipose/1	1	1
-3.21322056900556	16	1	ATAC_JV_adipose/1	1	1
-3.20594135067386	16	1	ATAC_JV_adipose/1	1	1
-3.1923296647227	16	1	ATAC_JV_adipose/1	1	1
-3.18338163631879	16	1	ATAC_JV_adipose/1	1	1
-3.18189246126436	16	1	ATAC_JV_adipose/1	1	1
-3.1763207757722	16	1	ATAC_JV_adipose/1	1	1
-3.17039766018875	16	1	ATAC_JV_adipose/1	1	1
-3.16784431275042	17	1	ATAC_JV_adipose/1	1	1
-3.15930777756214	17	1	ATAC_JV_adipose/1	1	1
-3.15069540622832	17	1	ATAC_JV_adipose/1	1	1
-3.13946987198216	17	1	ATAC_JV_adipose/1	1	1
-3.1300449825874	17	1	ATAC_JV_adipose/1	1	1
-3.12857722520281	17	1	ATAC_JV_adipose/1	1	1
-3.12705662291777	17	1	ATAC_JV_adipose/1	1	1
-3.1265154922619	17	1	ATAC_JV_adipose/1	1	1
-3.11757061037955	17	1	ATAC_JV_adipose/1	1	1
-3.10495323970111	17	1	ATAC_JV_adipose/1	1	1
-3.09889728930867	17	1	ATAC_JV_adipose/1	1	1
-3.09644861671532	17	1	ATAC_JV_adipose/1	1	1
-3.09032986658791	17	1	ATAC_JV_adipose/1	1	1
-3.07779844445356	17	1	ATAC_JV_adipose/1	1	1
-3.06924768064697	17	1	ATAC_JV_adipose/1	1	1
-3.06572854588836	17	1	ATAC_JV_adipose/1	1	1
-3.06401252322542	17	1	ATAC_JV_adipose/1	1	1
-3.0621181932855	17	1	ATAC_JV_adipose/1	1	1
-3.05307998001402	17	1	ATAC_JV_adipose/1	1	1
-3.04400229448865	17	1	ATAC_JV_adipose/1	1	1
-3.03996234679076	18	1	ATAC_JV_adipose/1	1	1
-3.02763265899828	18	1	ATAC_JV_adipose/1	1	1
-3.01228943357146	18	1	ATAC_JV_adipose/1	1	1
-3.006263373106	18	1	ATAC_JV_adipose/1	1	1
-3.00069687996025	18	1	ATAC_JV_adipose/1	1	1
-2.99336625288106	18	1	ATAC_JV_adipose/1	1	1
-2.98877216726574	18	1	ATAC_JV_adipose/1	1	1
-2.98028346466289	18	1	ATAC_JV_adipose/1	1	1
-2.97356322346092	18	1	ATAC_JV_adipose/1	1	1
-2.97127709460594	18	1	ATAC_JV_adipose/1	1	1
-2.96609826077585	18	1	ATAC_JV_adipose/1	1	1
-2.95905934147259	18	1	ATAC_JV_adipose/1	1	1
-2.95171440613492	18	1	ATAC_JV_adipose/1	1	1
-2.94798630543641	18	1	ATAC_JV_adipose/1	1	1
-2.94277170844502	18	1	ATAC_JV_adipose/1	1	1
-2.9352172332045	18	1	ATAC_JV_adipose/1	1	1
-2.93207438989466	19	1	ATAC_JV_adipose/1	1	1
-2.92952234404669	19	1	ATAC_JV_adipose/1	1	1
-2.9250404889023	19	1	ATAC_JV_adipose/1	1	1
-2.91669519868543	19	1	ATAC_JV_adipose/1	1	1
-2.91069695579436	19	1	ATAC_JV_adipose/1	1	1
-2.90787633937314	20	1	ATAC_JV_adipose/1	1	1
-2.88474587231605	20	1	ATAC_JV_adipose/1	1	1
-2.84972844019394	20	1	ATAC_JV_adipose/1	1	1
-2.83247279628611	20	1	ATAC_JV_adipose/1	1	1
-2.82448235696235	20	1	ATAC_JV_adipose/1	1	1
-2.81898286892493	20	1	ATAC_JV_adipose/1	1	1
-2.81669224093941	20	1	ATAC_JV_adipose/1	1	1
-2.81458221051116	20	1	ATAC_JV_adipose/1	1	1
-2.80517466302949	20	1	ATAC_JV_adipose/1	1	1
-2.79041869808436	20	1	ATAC_JV_adipose/1	1	1
-2.78342401628586	20	1	ATAC_JV_adipose/1	1	1
-2.77931283861111	20	1	ATAC_JV_adipose/1	1	1
-2.76695871416528	20	1	ATAC_JV_adipose/1	1	1
-2.75360840271967	20	1	ATAC_JV_adipose/1	1	1
-2.74949068677748	20	1	ATAC_JV_adipose/1	1	1
-2.74316345208062	21	1	ATAC_JV_adipose/1	1	1
-2.73639400905539	21	1	ATAC_JV_adipose/1	1	1
-2.72929394789589	21	1	ATAC_JV_adipose/1	1	1
-2.71872266123477	21	1	ATAC_JV_adipose/1	1	1
-2.70526595335428	21	1	ATAC_JV_adipose/1	1	1
-2.69624594181972	21	1	ATAC_JV_adipose/1	1	1
-2.69318788286048	22	1	ATAC_JV_adipose/1	1	1
-2.68707889869825	22	1	ATAC_JV_adipose/1	1	1
-2.68173589177668	22	1	ATAC_JV_adipose/1	1	1
-2.67831011372717	22	1	ATAC_JV_adipose/1	1	1
-2.66931615354285	22	1	ATAC_JV_adipose/1	1	1
-2.65263342049116	22	1	ATAC_JV_adipose/1	1	1
-2.63309813418968	22	1	ATAC_JV_adipose/1	1	1
-2.6124435179384	23	1	ATAC_JV_adipose/1	1	1
-2.60105089227217	23	1	ATAC_JV_adipose/1	1	1
-2.57747916615271	23	1	ATAC_JV_adipose/1	1	1
-2.55404884029401	23	1	ATAC_JV_adipose/1	1	1
-2.55257520031277	23	1	ATAC_JV_adipose/1	1	1
-2.55208955206073	23	1	ATAC_JV_adipose/1	1	1
-2.54849112910827	23	1	ATAC_JV_adipose/1	1	1
-2.53504415808461	23	1	ATAC_JV_adipose/1	1	1
-2.52415142418663	23	1	ATAC_JV_adipose/1	1	1
-2.52036656052476	23	1	ATAC_JV_adipose/1	1	1
-2.51412826143247	23	1	ATAC_JV_adipose/1	1	1
-2.51000105082062	23	1	ATAC_JV_adipose/1	1	1
-2.50243862697208	23	1	ATAC_JV_adipose/1	1	1
-2.49218092623176	23	1	ATAC_JV_adipose/1	1	1
-2.48390258019722	23	1	ATAC_JV_adipose/1	1	1
-2.47610498576563	23	1	ATAC_JV_adipose/1	1	1
-2.46565635347053	23	1	ATAC_JV_adipose/1	1	1
-2.44246843854355	23	1	ATAC_JV_adipose/1	1	1
-2.42369819200938	23	1	ATAC_JV_adipose/1	1	1
-2.41966711315032	23	1	ATAC_JV_adipose/1	1	1
-2.4140883489984	23	1	ATAC_JV_adipose/1	1	1
-2.40797945504596	23	1	ATAC_JV_adipose/1	1	1
-2.40463496928029	23	1	ATAC_JV_adipose/1	1	1
-2.3913987222686	23	1	ATAC_JV_adipose/1	1	1
-2.37676226217353	23	1	ATAC_JV_adipose/1	1	1
-2.37311666422354	23	1	ATAC_JV_adipose/1	1	1
-2.3671097754043	23	1	ATAC_JV_adipose/1	1	1
-2.35985994726641	23	1	ATAC_JV_adipose/1	1	1
-2.35753944583807	23	1	ATAC_JV_adipose/1	1	1
-2.35604856298593	23	1	ATAC_JV_adipose/1	1	1
-2.34684874075702	23	1	ATAC_JV_adipose/1	1	1
-2.33628348160722	23	1	ATAC_JV_adipose/1	1	1
-2.32750160736266	23	1	ATAC_JV_adipose/1	1	1
-2.31228612447184	23	1	ATAC_JV_adipose/1	1	1
-2.30306504999591	23	1	ATAC_JV_adipose/1	1	1
-2.29932769030959	23	1	ATAC_JV_adipose/1	1	1
-2.29352038729346	23	1	ATAC_JV_adipose/1	1	1
-2.2856266411068	23	1	ATAC_JV_adipose/1	1	1
-2.27408365331025	23	1	ATAC_JV_adipose/1	1	1
-2.26719104544289	23	1	ATAC_JV_adipose/1	1	1
-2.26291759891239	23	1	ATAC_JV_adipose/1	1	1
-2.25834928125795	23	1	ATAC_JV_adipose/1	1	1
