colour	x	y	key	clickSelects	showSelected1	fill
#0000FF	2.32279203647264	2.17957843433179	ATAC_JV_adipose/1	ATAC_JV_adipose/1	better	#0000FF
#0000FF	2.24110521269859	2.06803571981712	ATAC_JV_adipose/2	ATAC_JV_adipose/2	better	#0000FF
#0000FF	2.46467719727938	2.31594148975195	ATAC_JV_adipose/3	ATAC_JV_adipose/3	better	#0000FF
#0000FF	2.61650565810289	2.45900658969494	ATAC_JV_adipose/4	ATAC_JV_adipose/4	better	#0000FF
#0000FF	2.84107168761848	0.715222108425544	CTCF_TDH_ENCODE/1	CTCF_TDH_ENCODE/1	better	#0000FF
#0000FF	2.91106389939889	1.52858710973609	CTCF_TDH_ENCODE/2	CTCF_TDH_ENCODE/2	better	#0000FF
#0000FF	2.66316039403523	0.476844727277742	CTCF_TDH_ENCODE/3	CTCF_TDH_ENCODE/3	better	#0000FF
#0000FF	2.71042094704079	0.395823107467939	CTCF_TDH_ENCODE/4	CTCF_TDH_ENCODE/4	better	#0000FF
#0000FF	3.78802425132956	2.69108573797828	H3K27ac-H3K4me3_TDHAM_BP/1	H3K27ac-H3K4me3_TDHAM_BP/1	better	#0000FF
#0000FF	3.8497806625139	2.92158101354845	H3K27ac-H3K4me3_TDHAM_BP/2	H3K27ac-H3K4me3_TDHAM_BP/2	better	#0000FF
#0000FF	3.89053290842413	2.0306964645834	H3K27ac-H3K4me3_TDHAM_BP/3	H3K27ac-H3K4me3_TDHAM_BP/3	better	#0000FF
#0000FF	3.71587091719587	2.85192509044342	H3K27ac-H3K4me3_TDHAM_BP/4	H3K27ac-H3K4me3_TDHAM_BP/4	better	#0000FF
#0000FF	1.81613119220822	1.77574231244744	H3K27ac_TDH_some/1	H3K27ac_TDH_some/1	better	#0000FF
#0000FF	1.22194517266083	1.21219146751833	H3K27ac_TDH_some/2	H3K27ac_TDH_some/2	better	#0000FF
#0000FF	2.11094399647647	2.03578272212427	H3K27ac_TDH_some/3	H3K27ac_TDH_some/3	better	#0000FF
#0000FF	1.78788402138742	1.66823476234957	H3K27ac_TDH_some/4	H3K27ac_TDH_some/4	better	#0000FF
#0000FF	2.26006263625385	1.61638294934046	H3K27me3_RL_cancer/1	H3K27me3_RL_cancer/1	better	#0000FF
#0000FF	2.66953750363623	0.963688522834788	H3K27me3_RL_cancer/2	H3K27me3_RL_cancer/2	better	#0000FF
#0000FF	2.94778022451641	0	H3K27me3_RL_cancer/3	H3K27me3_RL_cancer/3	better	#0000FF
#0000FF	2.42063149083027	1.9066065158286	H3K27me3_RL_cancer/4	H3K27me3_RL_cancer/4	better	#0000FF
#0000FF	1.62655926371789	1.44933706540357	H3K27me3_TDH_some/1	H3K27me3_TDH_some/1	better	#0000FF
#0000FF	0.359444783363804	0.345065029078326	H3K27me3_TDH_some/2	H3K27me3_TDH_some/2	better	#0000FF
#0000FF	1.30065208517386	1.18290547844216	H3K27me3_TDH_some/3	H3K27me3_TDH_some/3	better	#0000FF
#0000FF	1.47368575622479	1.21696485322452	H3K27me3_TDH_some/4	H3K27me3_TDH_some/4	better	#0000FF
#0000FF	1.83365118044155	1.82629560583705	H3K36me3_AM_immune/1	H3K36me3_AM_immune/1	better	#0000FF
#0000FF	1.35959888185459	1.22303381886589	H3K36me3_AM_immune/2	H3K36me3_AM_immune/2	better	#0000FF
#0000FF	2.12272134134786	2.09621704505154	H3K36me3_AM_immune/3	H3K36me3_AM_immune/3	better	#0000FF
#0000FF	2.20164662579962	1.79404568295566	H3K36me3_AM_immune/4	H3K36me3_AM_immune/4	better	#0000FF
#0000FF	1.33876642533534	1.32418496914644	H3K36me3_TDH_ENCODE/1	H3K36me3_TDH_ENCODE/1	better	#0000FF
#0000FF	1.2371654113724	1.16591670944996	H3K36me3_TDH_ENCODE/2	H3K36me3_TDH_ENCODE/2	better	#0000FF
#0000FF	2.05008677152709	1.14660487573803	H3K36me3_TDH_ENCODE/3	H3K36me3_TDH_ENCODE/3	better	#0000FF
#0000FF	1.49578527177556	1.48445300407237	H3K36me3_TDH_ENCODE/4	H3K36me3_TDH_ENCODE/4	better	#0000FF
#0000FF	0.812869219929937	0.773165662111151	H3K36me3_TDH_immune/1	H3K36me3_TDH_immune/1	better	#0000FF
#000000	0	0	H3K36me3_TDH_immune/2	H3K36me3_TDH_immune/2	same	#000000
#000000	0	0	H3K36me3_TDH_immune/3	H3K36me3_TDH_immune/3	same	#000000
#000000	0	0	H3K36me3_TDH_immune/4	H3K36me3_TDH_immune/4	same	#000000
#0000FF	1.69065539265885	0	H3K36me3_TDH_other/1	H3K36me3_TDH_other/1	better	#0000FF
#000000	1.10226759570294	1.10226759570294	H3K36me3_TDH_other/2	H3K36me3_TDH_other/2	same	#000000
#0000FF	1.17339836941375	1.0863288958002	H3K36me3_TDH_other/3	H3K36me3_TDH_other/3	better	#0000FF
#000000	1.5353448868312	1.5353448868312	H3K36me3_TDH_other/4	H3K36me3_TDH_other/4	same	#000000
#0000FF	1.85784540643683	1.85585987294514	H3K4me1_TDH_BP/1	H3K4me1_TDH_BP/1	better	#0000FF
#0000FF	1.95790343780676	1.66893244351253	H3K4me1_TDH_BP/2	H3K4me1_TDH_BP/2	better	#0000FF
#0000FF	0.826820409721842	0.673940492160372	H3K4me1_TDH_BP/3	H3K4me1_TDH_BP/3	better	#0000FF
#0000FF	3.01347665885139	1.30331552807549	H3K4me1_TDH_BP/4	H3K4me1_TDH_BP/4	better	#0000FF
#0000FF	2.6407662304007	2.57901715447305	H3K4me3_PGP_immune/1	H3K4me3_PGP_immune/1	better	#0000FF
#0000FF	2.38953562287048	2.33922657917279	H3K4me3_PGP_immune/2	H3K4me3_PGP_immune/2	better	#0000FF
#0000FF	2.56063936378935	2.48954776100133	H3K4me3_PGP_immune/3	H3K4me3_PGP_immune/3	better	#0000FF
#0000FF	2.66677268404729	2.55840101624631	H3K4me3_PGP_immune/4	H3K4me3_PGP_immune/4	better	#0000FF
#0000FF	2.08989064294348	0	H3K4me3_TDH_ENCODE/1	H3K4me3_TDH_ENCODE/1	better	#0000FF
#000000	0.427197421698683	0.427197421698683	H3K4me3_TDH_ENCODE/2	H3K4me3_TDH_ENCODE/2	same	#000000
#000000	0	0	H3K4me3_TDH_ENCODE/3	H3K4me3_TDH_ENCODE/3	same	#000000
#0000FF	1.09039891945727	1.03950924744068	H3K4me3_TDH_ENCODE/4	H3K4me3_TDH_ENCODE/4	better	#0000FF
#0000FF	2.41753950048259	2.35689621572958	H3K4me3_TDH_immune/1	H3K4me3_TDH_immune/1	better	#0000FF
#0000FF	2.40702264347658	2.36221763620861	H3K4me3_TDH_immune/2	H3K4me3_TDH_immune/2	better	#0000FF
#0000FF	2.22112065541801	2.12432808195846	H3K4me3_TDH_immune/3	H3K4me3_TDH_immune/3	better	#0000FF
#0000FF	2.30779867288347	2.21031032794551	H3K4me3_TDH_immune/4	H3K4me3_TDH_immune/4	better	#0000FF
#0000FF	1.08781185083082	1.03622524343625	H3K4me3_TDH_other/1	H3K4me3_TDH_other/1	better	#0000FF
#0000FF	1.11472064165034	1.01800115664941	H3K4me3_TDH_other/2	H3K4me3_TDH_other/2	better	#0000FF
#0000FF	0.30919060623162	0.308475703668118	H3K4me3_TDH_other/3	H3K4me3_TDH_other/3	better	#0000FF
#0000FF	1.38570029152349	1.2299406744537	H3K4me3_TDH_other/4	H3K4me3_TDH_other/4	better	#0000FF
#0000FF	2.08095936988925	1.48467943056924	H3K4me3_XJ_immune/1	H3K4me3_XJ_immune/1	better	#0000FF
#0000FF	2.31718839985838	2.25618493824607	H3K4me3_XJ_immune/2	H3K4me3_XJ_immune/2	better	#0000FF
#0000FF	2.06323413753508	1.92333651518534	H3K4me3_XJ_immune/3	H3K4me3_XJ_immune/3	better	#0000FF
#0000FF	2.20083510642947	1.95001702195702	H3K4me3_XJ_immune/4	H3K4me3_XJ_immune/4	better	#0000FF
#0000FF	1.44930290510605	1.42387351027703	H3K9me3_TDH_BP/1	H3K9me3_TDH_BP/1	better	#0000FF
#0000FF	1.97228086676403	1.91742505014273	H3K9me3_TDH_BP/2	H3K9me3_TDH_BP/2	better	#0000FF
#0000FF	1.76908495749949	1.76827735874942	H3K9me3_TDH_BP/3	H3K9me3_TDH_BP/3	better	#0000FF
#0000FF	1.23641385916799	0.985230622772324	H3K9me3_TDH_BP/4	H3K9me3_TDH_BP/4	better	#0000FF
