colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	0.989010989010989	1	initial	initial	-10	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-10	#F8766D
#00BFC4	0.989010989010989	1	initial	initial	-9.8	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-9.8	#F8766D
#00BFC4	0.989010989010989	1	initial	initial	-9.6	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-9.6	#F8766D
#00BFC4	0.989010989010989	1	initial	initial	-9.4	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-9.4	#F8766D
#00BFC4	0.989010989010989	1	initial	initial	-9.2	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-9.2	#F8766D
#00BFC4	0.989010989010989	1	initial	initial	-9	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-9	#F8766D
#00BFC4	0.986263736263736	1	initial	initial	-8.8	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-8.8	#F8766D
#00BFC4	0.986263736263736	1	initial	initial	-8.6	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-8.6	#F8766D
#00BFC4	0.986263736263736	1	initial	initial	-8.4	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-8.4	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-8.2	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-8.2	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-8	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-8	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-7.8	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-7.8	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-7.6	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-7.6	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-7.4	#00BFC4
#F8766D	0.989010989010989	1	improved	improved	-7.4	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-7.2	#00BFC4
#F8766D	0.986263736263736	1	improved	improved	-7.2	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-7	#00BFC4
#F8766D	0.986263736263736	1	improved	improved	-7	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-6.8	#00BFC4
#F8766D	0.986263736263736	1	improved	improved	-6.8	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-6.6	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-6.6	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-6.4	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-6.4	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-6.2	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-6.2	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-6	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-6	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-5.8	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-5.8	#F8766D
#00BFC4	0.983516483516483	1	initial	initial	-5.6	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-5.6	#F8766D
#00BFC4	0.980769230769231	1	initial	initial	-5.4	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-5.4	#F8766D
#00BFC4	0.980769230769231	1	initial	initial	-5.2	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-5.2	#F8766D
#00BFC4	0.980769230769231	1	initial	initial	-5	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-5	#F8766D
#00BFC4	0.956043956043956	1	initial	initial	-4.8	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-4.8	#F8766D
#00BFC4	0.947802197802198	1	initial	initial	-4.6	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-4.6	#F8766D
#00BFC4	0.928571428571429	1	initial	initial	-4.4	#00BFC4
#F8766D	0.983516483516483	1	improved	improved	-4.4	#F8766D
#00BFC4	0.917582417582418	1	initial	initial	-4.2	#00BFC4
#F8766D	0.980769230769231	1	improved	improved	-4.2	#F8766D
#00BFC4	0.892857142857143	1	initial	initial	-4	#00BFC4
#F8766D	0.980769230769231	1	improved	improved	-4	#F8766D
#00BFC4	0.870879120879121	1	initial	initial	-3.8	#00BFC4
#F8766D	0.972527472527472	1	improved	improved	-3.8	#F8766D
#00BFC4	0.832417582417583	1	initial	initial	-3.6	#00BFC4
#F8766D	0.972527472527472	1	improved	improved	-3.6	#F8766D
#00BFC4	0.79945054945055	1	initial	initial	-3.4	#00BFC4
#F8766D	0.96978021978022	1	improved	improved	-3.4	#F8766D
#00BFC4	0.766483516483517	1	initial	initial	-3.2	#00BFC4
#F8766D	0.967032967032967	1	improved	improved	-3.2	#F8766D
#00BFC4	0.675824175824176	1	initial	initial	-3	#00BFC4
#F8766D	0.93956043956044	1	improved	improved	-3	#F8766D
#00BFC4	0.626373626373626	1	initial	initial	-2.8	#00BFC4
#F8766D	0.925824175824176	1	improved	improved	-2.8	#F8766D
#00BFC4	0.596153846153846	1	initial	initial	-2.6	#00BFC4
#F8766D	0.903846153846154	1	improved	improved	-2.6	#F8766D
#00BFC4	0.502747252747253	1	initial	initial	-2.4	#00BFC4
#F8766D	0.887362637362637	1	improved	improved	-2.4	#F8766D
#00BFC4	0.436813186813187	1	initial	initial	-2.2	#00BFC4
#F8766D	0.876373626373626	1	improved	improved	-2.2	#F8766D
#00BFC4	0.387362637362637	1	initial	initial	-2	#00BFC4
#F8766D	0.821428571428571	1	improved	improved	-2	#F8766D
#00BFC4	0.337912087912088	1	initial	initial	-1.8	#00BFC4
#F8766D	0.788461538461538	1	improved	improved	-1.8	#F8766D
