group	x	y	PANEL
1	-11.5675965052519	4000	1
1	-5.68154443507661	3999	1
1	-5.31858720288433	3998	1
1	-4.621577697855	3997	1
1	-3.98325106104649	3996	1
1	-3.73421764750807	3995	1
1	-3.64587401727187	3994	1
1	-3.48644714319803	3993	1
1	-3.36135541861517	3992	1
1	-3.29228441762625	3990	1
1	-3.24427565877657	3989	1
1	-3.19800071234928	3988	1
1	-3.16496267886548	3986	1
1	-3.13410712369341	3985	1
1	-3.06798755568835	3985	1
1	-3.02000567561806	3984	1
1	-2.92386255450319	3985	1
1	-2.80876613248126	3984	1
1	-2.78576531918777	3985	1
1	-2.78055052717187	3984	1
1	-2.73923503459622	3985	1
1	-2.67766105049218	3983	1
1	-2.62469301517126	3982	1
1	-2.55029078870838	3982	1
1	-2.47450185600515	3982	1
1	-2.44470653038773	3983	1
1	-2.43954339687465	3983	1
1	-2.41887701169504	3983	1
1	-2.39313803590278	3982	1
1	-2.36416673412771	3984	1
1	-2.31051038383556	3984	1
1	-2.27269735564825	3981	1
1	-2.24539267010437	3979	1
1	-2.1950211061485	3978	1
1	-2.15481227429776	3976	1
1	-2.12969038168755	3975	1
1	-2.11670798056729	3974	1
1	-2.1055304275488	3973	1
1	-2.09065972894123	3974	1
1	-2.06860429025695	3973	1
1	-2.0504376483987	3972	1
1	-2.04063246280119	3971	1
1	-2.0252574532916	3970	1
1	-2.01210398106411	3969	1
1	-2.00497152063669	3968	1
1	-1.99997709365122	3969	1
1	-1.99384146457122	3966	1
1	-1.99045375884852	3964	1
1	-1.96945144699688	3963	1
1	-1.94670839093581	3961	1
1	-1.93884335180438	3959	1
1	-1.92192356822278	3962	1
1	-1.90761958505672	3961	1
1	-1.89153101740427	3960	1
1	-1.85665578941822	3959	1
1	-1.83003109603021	3958	1
1	-1.80468088061463	3957	1
1	-1.77959181096931	3956	1
1	-1.76278961734419	3954	1
1	-1.73417276532793	3952	1
1	-1.70606290169192	3950	1
1	-1.69425158724235	3943	1
1	-1.67464039082508	3944	1
1	-1.64271776480147	3946	1
1	-1.62570552916722	3944	1
1	-1.60837161547607	3942	1
1	-1.58427681440835	3940	1
1	-1.55875888771712	3938	1
1	-1.53900111850083	3937	1
1	-1.53004681504082	3936	1
1	-1.52276817159329	3935	1
1	-1.51904790677002	3934	1
1	-1.51055945393459	3933	1
1	-1.50103093771199	3931	1
1	-1.49702972460705	3930	1
1	-1.47475003387891	3929	1
1	-1.45319140426958	3931	1
1	-1.44172430087486	3930	1
1	-1.42882548645901	3931	1
1	-1.41035657352761	3930	1
1	-1.39295768006026	3928	1
1	-1.38247872706741	3927	1
1	-1.36666259169661	3925	1
1	-1.35351817787338	3924	1
1	-1.34029632860798	3924	1
1	-1.32848135206772	3923	1
1	-1.3188187001243	3921	1
1	-1.30831965503787	3920	1
1	-1.296808101177	3919	1
1	-1.28185422671166	3915	1
1	-1.27169951367004	3913	1
1	-1.24401828021002	3912	1
1	-1.2008079597878	3910	1
1	-1.17839789313537	3909	1
1	-1.16826165810796	3901	1
1	-1.15772141847145	3900	1
1	-1.13665622128626	3899	1
1	-1.0909709462712	3898	1
1	-1.0550471895561	3899	1
1	-1.03490741802964	3898	1
1	-1.0113250279632	3898	1
1	-1.00174388981983	3897	1
1	-0.997594817025019	3895	1
1	-0.987104613614934	3894	1
1	-0.971925722384531	3892	1
1	-0.961207143223604	3890	1
1	-0.950746992986337	3894	1
1	-0.94273615206722	3893	1
1	-0.94165621089733	3892	1
1	-0.927819673439602	3888	1
1	-0.910999934610424	3887	1
1	-0.894945786280585	3886	1
1	-0.876659231496327	3884	1
1	-0.83770199040161	3882	1
1	-0.798048488792981	3881	1
1	-0.777721260756706	3880	1
1	-0.740784272855073	3879	1
1	-0.693572079074753	3885	1
1	-0.669169890686697	3884	1
1	-0.661106834049143	3883	1
1	-0.641963745504263	3882	1
1	-0.600940358627322	3881	1
1	-0.571099454912837	3880	1
1	-0.567802386307562	3879	1
1	-0.541614868581037	3878	1
1	-0.510060766061637	3877	1
1	-0.493640489062574	3884	1
1	-0.469479511355094	3881	1
1	-0.433739950471357	3879	1
1	-0.392556499298078	3876	1
1	-0.364430307549803	3876	1
1	-0.338014250683834	3869	1
1	-0.315856063164627	3869	1
1	-0.309774755473087	3866	1
1	-0.289182436344649	3863	1
1	-0.267409695323038	3860	1
1	-0.253748998169415	3853	1
1	-0.228526564500671	3853	1
1	-0.207638122878214	3852	1
1	-0.194907391601294	3847	1
1	-0.169644687559573	3845	1
1	-0.149601639552821	3844	1
1	-0.144467752885681	3843	1
1	-0.140210728331781	3839	1
1	-0.136073291255596	3838	1
1	-0.132331414892798	3837	1
1	-0.129398161042591	3836	1
1	-0.127590819178359	3829	1
1	-0.126373878962454	3828	1
1	-0.12038576033545	3824	1
1	-0.114826654825541	3822	1
1	-0.095706627222425	3820	1
1	-0.0766283119891669	3819	1
1	-0.0733834187170421	3817	1
1	-0.0655709287181407	3817	1
1	-0.0557990296800148	3816	1
1	-0.0493312233806873	3815	1
1	-0.0470526736258048	3814	1
1	-0.0358456508845531	3813	1
1	-0.0170648665082194	3809	1
1	0.0051674407865594	3803	1
1	0.0193578567256543	3802	1
1	0.0215515659150105	3801	1
1	0.0264281812767879	3800	1
1	0.0378700288474032	3799	1
1	0.0501764185554554	3797	1
1	0.0594489845742068	3796	1
1	0.0808353982691403	3795	1
1	0.101579143402569	3793	1
1	0.108311419748412	3792	1
1	0.114131105280598	3787	1
1	0.121404941050123	3786	1
1	0.125135024016299	3785	1
1	0.128882727001369	3785	1
1	0.135310359169337	3784	1
1	0.146178514300804	3780	1
1	0.155130801921674	3779	1
1	0.161436043694865	3782	1
1	0.167977181103032	3779	1
1	0.172394383508738	3778	1
1	0.189468408325377	3777	1
1	0.207208535626373	3784	1
1	0.219212275252161	3782	1
1	0.244107594385304	3781	1
1	0.267471734803742	3781	1
1	0.274415243334552	3780	1
1	0.274595005098818	3779	1
1	0.277407006974212	3778	1
1	0.282570000264296	3777	1
1	0.321813005486358	3776	1
1	0.362515389075034	3775	1
1	0.381569739591908	3775	1
1	0.404366032871759	3775	1
1	0.413978428675063	3774	1
1	0.421741108933436	3772	1
1	0.435789067312829	3769	1
1	0.446665200248383	3765	1
1	0.452369902815541	3764	1
1	0.462094954181812	3763	1
1	0.472742021857383	3759	1
1	0.476987009186667	3759	1
1	0.483198356006596	3758	1
1	0.492871352644164	3758	1
1	0.501410839914795	3757	1
1	0.512681486889216	3764	1
1	0.52388460058912	3766	1
1	0.535552937304768	3760	1
1	0.543911176194287	3759	1
1	0.548699607888953	3753	1
1	0.571234226625003	3754	1
1	0.59184895326385	3755	1
1	0.596248745489167	3754	1
1	0.601682072284521	3753	1
1	0.607522153522571	3747	1
1	0.620005801518568	3746	1
1	0.635584885275601	3761	1
1	0.643596303256349	3760	1
1	0.649867705559666	3760	1
1	0.655134988883593	3757	1
1	0.665141428022797	3756	1
1	0.675179042571949	3755	1
1	0.675758959169494	3754	1
1	0.681511611827629	3753	1
1	0.691521771298535	3750	1
1	0.700180091288445	3749	1
1	0.713121059178378	3748	1
1	0.727065177992238	3747	1
1	0.737247292688053	3746	1
1	0.746389750831803	3746	1
1	0.756646130400174	3745	1
1	0.770551548685617	3744	1
1	0.791819929297651	3743	1
1	0.812200916999686	3741	1
1	0.822105591510286	3737	1
1	0.829724098088107	3736	1
