colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
#00BFC4	0.992063492063492	0.992	initial -10	initial	-10	#00BFC4
#F8766D	0.992063492063492	0.992	improved -10	improved	-10	#F8766D
#00BFC4	0.992063492063492	0.992	initial -9.8	initial	-9.8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -9.8	improved	-9.8	#F8766D
#00BFC4	0.992063492063492	0.992	initial -9.6	initial	-9.6	#00BFC4
#F8766D	0.992063492063492	0.992	improved -9.6	improved	-9.6	#F8766D
#00BFC4	0.992063492063492	0.992	initial -9.4	initial	-9.4	#00BFC4
#F8766D	0.992063492063492	0.992	improved -9.4	improved	-9.4	#F8766D
#00BFC4	0.992063492063492	0.992	initial -9.2	initial	-9.2	#00BFC4
#F8766D	0.992063492063492	0.992	improved -9.2	improved	-9.2	#F8766D
#00BFC4	0.992063492063492	0.992	initial -9	initial	-9	#00BFC4
#F8766D	0.992063492063492	0.992	improved -9	improved	-9	#F8766D
#00BFC4	0.991815476190476	0.992	initial -8.8	initial	-8.8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -8.8	improved	-8.8	#F8766D
#00BFC4	0.99156746031746	0.992	initial -8.6	initial	-8.6	#00BFC4
#F8766D	0.992063492063492	0.992	improved -8.6	improved	-8.6	#F8766D
#00BFC4	0.99156746031746	0.992	initial -8.4	initial	-8.4	#00BFC4
#F8766D	0.992063492063492	0.992	improved -8.4	improved	-8.4	#F8766D
#00BFC4	0.99156746031746	0.992	initial -8.2	initial	-8.2	#00BFC4
#F8766D	0.992063492063492	0.992	improved -8.2	improved	-8.2	#F8766D
#00BFC4	0.991319444444444	0.992	initial -8	initial	-8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -8	improved	-8	#F8766D
#00BFC4	0.991319444444444	0.992	initial -7.8	initial	-7.8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -7.8	improved	-7.8	#F8766D
#00BFC4	0.991319444444444	0.992	initial -7.6	initial	-7.6	#00BFC4
#F8766D	0.992063492063492	0.992	improved -7.6	improved	-7.6	#F8766D
#00BFC4	0.991319444444444	0.992	initial -7.4	initial	-7.4	#00BFC4
#F8766D	0.992063492063492	0.992	improved -7.4	improved	-7.4	#F8766D
#00BFC4	0.991071428571429	0.992	initial -7.2	initial	-7.2	#00BFC4
#F8766D	0.992063492063492	0.992	improved -7.2	improved	-7.2	#F8766D
#00BFC4	0.991071428571429	0.992	initial -7	initial	-7	#00BFC4
#F8766D	0.992063492063492	0.992	improved -7	improved	-7	#F8766D
#00BFC4	0.990823412698413	0.992	initial -6.8	initial	-6.8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -6.8	improved	-6.8	#F8766D
#00BFC4	0.990327380952381	0.992	initial -6.6	initial	-6.6	#00BFC4
#F8766D	0.992063492063492	0.992	improved -6.6	improved	-6.6	#F8766D
#00BFC4	0.989583333333333	0.992	initial -6.4	initial	-6.4	#00BFC4
#F8766D	0.992063492063492	0.992	improved -6.4	improved	-6.4	#F8766D
#00BFC4	0.988839285714286	0.990666666666667	initial -6.2	initial	-6.2	#00BFC4
#F8766D	0.992063492063492	0.992	improved -6.2	improved	-6.2	#F8766D
#00BFC4	0.98859126984127	0.990666666666667	initial -6	initial	-6	#00BFC4
#F8766D	0.992063492063492	0.992	improved -6	improved	-6	#F8766D
#00BFC4	0.988343253968254	0.990666666666667	initial -5.8	initial	-5.8	#00BFC4
#F8766D	0.992063492063492	0.992	improved -5.8	improved	-5.8	#F8766D
#00BFC4	0.988343253968254	0.988	initial -5.6	initial	-5.6	#00BFC4
#F8766D	0.99156746031746	0.992	improved -5.6	improved	-5.6	#F8766D
#00BFC4	0.986855158730159	0.985333333333333	initial -5.4	initial	-5.4	#00BFC4
#F8766D	0.99156746031746	0.992	improved -5.4	improved	-5.4	#F8766D
#00BFC4	0.985863095238095	0.985333333333333	initial -5.2	initial	-5.2	#00BFC4
#F8766D	0.99156746031746	0.992	improved -5.2	improved	-5.2	#F8766D
#00BFC4	0.981646825396825	0.985333333333333	initial -5	initial	-5	#00BFC4
#F8766D	0.991319444444444	0.992	improved -5	improved	-5	#F8766D
#00BFC4	0.976686507936508	0.985333333333333	initial -4.8	initial	-4.8	#00BFC4
#F8766D	0.991319444444444	0.992	improved -4.8	improved	-4.8	#F8766D
#00BFC4	0.97296626984127	0.985333333333333	initial -4.6	initial	-4.6	#00BFC4
#F8766D	0.991319444444444	0.992	improved -4.6	improved	-4.6	#F8766D
#00BFC4	0.968501984126984	0.984	initial -4.4	initial	-4.4	#00BFC4
#F8766D	0.991319444444444	0.992	improved -4.4	improved	-4.4	#F8766D
#00BFC4	0.961309523809524	0.984	initial -4.2	initial	-4.2	#00BFC4
#F8766D	0.991071428571429	0.992	improved -4.2	improved	-4.2	#F8766D
#00BFC4	0.956349206349206	0.982666666666667	initial -4	initial	-4	#00BFC4
#F8766D	0.991071428571429	0.992	improved -4	improved	-4	#F8766D
#00BFC4	0.952876984126984	0.982666666666667	initial -3.8	initial	-3.8	#00BFC4
#F8766D	0.991071428571429	0.992	improved -3.8	improved	-3.8	#F8766D
#00BFC4	0.943204365079365	0.982666666666667	initial -3.6	initial	-3.6	#00BFC4
#F8766D	0.990575396825397	0.992	improved -3.6	improved	-3.6	#F8766D
#00BFC4	0.936259920634921	0.98	initial -3.4	initial	-3.4	#00BFC4
#F8766D	0.990079365079365	0.992	improved -3.4	improved	-3.4	#F8766D
#00BFC4	0.928075396825397	0.98	initial -3.2	initial	-3.2	#00BFC4
#F8766D	0.989087301587302	0.992	improved -3.2	improved	-3.2	#F8766D
#00BFC4	0.915922619047619	0.978666666666667	initial -3	initial	-3	#00BFC4
#F8766D	0.988343253968254	0.990666666666667	improved -3	improved	-3	#F8766D
#00BFC4	0.902281746031746	0.977333333333333	initial -2.8	initial	-2.8	#00BFC4
#F8766D	0.988095238095238	0.990666666666667	improved -2.8	improved	-2.8	#F8766D
#00BFC4	0.891121031746032	0.974666666666667	initial -2.6	initial	-2.6	#00BFC4
#F8766D	0.987599206349206	0.990666666666667	improved -2.6	improved	-2.6	#F8766D
#00BFC4	0.874503968253968	0.973333333333333	initial -2.4	initial	-2.4	#00BFC4
#F8766D	0.987599206349206	0.985333333333333	improved -2.4	improved	-2.4	#F8766D
#00BFC4	0.860367063492063	0.973333333333333	initial -2.2	initial	-2.2	#00BFC4
#F8766D	0.986607142857143	0.984	improved -2.2	improved	-2.2	#F8766D
#00BFC4	0.834077380952381	0.966666666666667	initial -2	initial	-2	#00BFC4
#F8766D	0.984375	0.984	improved -2	improved	-2	#F8766D
#00BFC4	0.807787698412698	0.958666666666667	initial -1.8	initial	-1.8	#00BFC4
#F8766D	0.981398809523809	0.984	improved -1.8	improved	-1.8	#F8766D
#00BFC4	0.776785714285714	0.952	initial -1.6	initial	-1.6	#00BFC4
#F8766D	0.977678571428571	0.984	improved -1.6	improved	-1.6	#F8766D
#00BFC4	0.745039682539683	0.946666666666667	initial -1.4	initial	-1.4	#00BFC4
#F8766D	0.974702380952381	0.982666666666667	improved -1.4	improved	-1.4	#F8766D
#00BFC4	0.721974206349206	0.937333333333333	initial -1.2	initial	-1.2	#00BFC4
#F8766D	0.969742063492063	0.981333333333333	improved -1.2	improved	-1.2	#F8766D
#F8766D	0.966021825396825	0.978666666666667	improved -1	improved	-1	#F8766D
#00BFC4	0.642361111111111	0.928	initial -0.799999999999999	initial	-0.799999999999999	#00BFC4
#F8766D	0.962549603174603	0.978666666666667	improved -0.799999999999999	improved	-0.799999999999999	#F8766D
#00BFC4	0.631448412698413	0.928	initial -0.6	initial	-0.6	#00BFC4
#F8766D	0.962549603174603	0.978666666666667	improved -0.6	improved	-0.6	#F8766D
#00BFC4	0.60639880952381	0.928	initial -0.399999999999999	initial	-0.399999999999999	#00BFC4
#F8766D	0.961309523809524	0.978666666666667	improved -0.399999999999999	improved	-0.399999999999999	#F8766D
#00BFC4	0.596230158730159	0.929333333333333	initial -0.199999999999999	initial	-0.199999999999999	#00BFC4
#F8766D	0.954117063492063	0.974666666666667	improved -0.199999999999999	improved	-0.199999999999999	#F8766D
#00BFC4	0.588541666666667	0.934666666666667	initial 0	initial	0	#00BFC4
#F8766D	0.943204365079365	0.972	improved 0	improved	0	#F8766D
#00BFC4	0.588045634920635	0.894666666666667	initial 0.200000000000001	initial	0.200000000000001	#00BFC4
#F8766D	0.936755952380952	0.970666666666667	improved 0.200000000000001	improved	0.200000000000001	#F8766D
#00BFC4	0.593501984126984	0.862666666666667	initial 0.4	initial	0.4	#00BFC4
#F8766D	0.936259920634921	0.966666666666667	improved 0.4	improved	0.4	#F8766D
#00BFC4	0.615575396825397	0.808	initial 0.600000000000001	initial	0.600000000000001	#00BFC4
#F8766D	0.930803571428571	0.964	improved 0.600000000000001	improved	0.600000000000001	#F8766D
#00BFC4	0.621775793650794	0.758666666666667	initial 0.800000000000001	initial	0.800000000000001	#00BFC4
#F8766D	0.928323412698413	0.956	improved 0.800000000000001	improved	0.800000000000001	#F8766D
#F8766D	0.914930555555556	0.953333333333333	improved 1	improved	1	#F8766D
#00BFC4	0.619047619047619	0.638666666666667	initial 1.2	initial	1.2	#00BFC4
#F8766D	0.904513888888889	0.946666666666667	improved 1.2	improved	1.2	#F8766D
#00BFC4	0.598958333333333	0.576	initial 1.4	initial	1.4	#00BFC4
#F8766D	0.892609126984127	0.94	improved 1.4	improved	1.4	#F8766D
#00BFC4	0.589781746031746	0.486666666666667	initial 1.6	initial	1.6	#00BFC4
#F8766D	0.884176587301587	0.936	improved 1.6	improved	1.6	#F8766D
