group	x	y	PANEL
1	-11.5675965052519	120	1
1	-5.19568820794525	119	1
1	-4.85503376413202	118	1
1	-4.45631749373332	117	1
1	-4.2448475156323	116	1
1	-3.96391486255042	114	1
1	-3.74696683760397	113	1
1	-3.61516262030868	109	1
1	-3.48546345752388	107	1
1	-3.41211106099384	105	1
1	-3.38002849761194	102	1
1	-3.3554442541372	98	1
1	-3.33962538096724	94	1
1	-3.2667883075432	89	1
1	-3.16965556168637	87	1
1	-3.09110349663819	83	1
1	-3.04169375761673	82	1
1	-2.86664632297177	79	1
1	-2.65618406144095	78	1
1	-2.61318650934603	75	1
1	-2.57697067529317	74	1
1	-2.51839582788423	72	1
1	-2.48175154179641	68	1
1	-2.46598017351254	66	1
1	-2.46107462058664	63	1
1	-2.37989275492801	59	1
1	-2.2809557807193	57	1
1	-2.20171293084296	53	1
1	-2.13873490868805	52	1
1	-2.06592679109671	51	1
1	-1.98390247692383	48	1
1	-1.965053174899	44	1
1	-1.95340609363795	42	1
1	-1.93410850019418	41	1
1	-1.90608007980607	39	1
1	-1.88897753589602	37	1
1	-1.76729888170129	33	1
1	-1.63344416471904	32	1
1	-1.61422493883045	31	1
1	-1.590837082589	30	1
1	-1.55129962884749	26	1
1	-1.52257993010595	25	1
1	-1.49602219431298	24	1
1	-1.46067941179357	23	1
1	-1.43664010458146	22	1
1	-1.42295011269089	21	1
1	-1.39054916994643	20	1
1	-1.36595705631602	19	1
1	-1.35852458757948	18	1
1	-1.34729580452935	17	1
1	-1.33273349991485	15	1
1	-1.31437984025648	14	1
1	-1.30298641358337	13	1
1	-1.29224202024204	11	1
1	-1.28013992561216	10	1
1	-1.26772858623649	9	1
1	-1.21426602683209	8	1
1	-1.15955167575015	5	1
1	-0.977412650815705	2	1
1	-0.750063457935635	1	1
1	8.88178419700125e-16	0	1
1	0.750063457935635	0	1
1	0.977412650815705	0	1
1	1.15955167575015	0	1
1	1.21426602683209	0	1
1	1.27228888429443	0	1
1	1.29224202024204	0	1
1	1.30298641358337	0	1
1	1.32454267001112	4	1
1	1.34729580452935	4	1
1	1.35852458757948	4	1
1	1.40363600129073	4	1
1	1.46067941179357	4	1
1	1.49602219431298	4	1
1	1.52257993010595	4	1
1	1.62865032196128	4	1
1	2.04885332462498	0	1
1	2.37504342564483	0	1
1	2.39362034153634	0	1
1	2.42854654467515	0	1
1	2.44819703252692	0	1
1	2.48195663413741	0	1
1	20.7195266102907	0	1
2	-11.5675965052519	0	1
2	-5.19568820794525	0	1
2	-4.85503376413202	0	1
2	-4.45631749373332	0	1
2	-4.2448475156323	0	1
2	-3.96391486255042	0	1
2	-3.74696683760397	0	1
2	-3.61516262030868	0	1
2	-3.48546345752388	0	1
2	-3.41211106099384	0	1
2	-3.38002849761194	0	1
2	-3.3554442541372	0	1
2	-3.33962538096724	0	1
2	-3.2667883075432	0	1
2	-3.16965556168637	0	1
2	-3.09110349663819	0	1
2	-3.04169375761673	0	1
2	-2.86664632297177	0	1
2	-2.65618406144095	0	1
2	-2.61318650934603	0	1
2	-2.57697067529317	0	1
2	-2.51839582788423	0	1
2	-2.48175154179641	0	1
2	-2.46598017351254	0	1
2	-2.46107462058664	0	1
2	-2.37989275492801	0	1
2	-2.2809557807193	0	1
2	-2.20171293084296	0	1
2	-2.13873490868805	0	1
2	-2.06592679109671	0	1
2	-1.98390247692383	0	1
2	-1.965053174899	0	1
2	-1.95340609363795	0	1
2	-1.93410850019418	0	1
2	-1.90608007980607	0	1
2	-1.88897753589602	0	1
2	-1.76729888170129	0	1
2	-1.63344416471904	0	1
2	-1.61422493883045	0	1
2	-1.590837082589	0	1
2	-1.55129962884749	0	1
2	-1.52257993010595	0	1
2	-1.49602219431298	0	1
2	-1.46067941179357	0	1
2	-1.43664010458146	0	1
2	-1.42295011269089	0	1
2	-1.39054916994643	0	1
2	-1.36595705631602	0	1
2	-1.35852458757948	0	1
2	-1.34729580452935	0	1
2	-1.33273349991485	0	1
2	-1.31437984025648	0	1
2	-1.30298641358337	0	1
2	-1.29224202024204	0	1
2	-1.28013992561216	0	1
2	-1.26772858623649	0	1
2	-1.21426602683209	0	1
2	-1.15955167575015	0	1
2	-0.977412650815705	0	1
2	-0.750063457935635	0	1
2	8.88178419700125e-16	0	1
2	0.750063457935635	2	1
2	0.977412650815705	4	1
2	1.15955167575015	6	1
2	1.21426602683209	8	1
2	1.27228888429443	10	1
2	1.29224202024204	12	1
2	1.30298641358337	14	1
2	1.32454267001112	15	1
2	1.34729580452935	17	1
2	1.35852458757948	19	1
2	1.40363600129073	21	1
2	1.46067941179357	23	1
2	1.49602219431298	25	1
2	1.52257993010595	27	1
2	1.62865032196128	29	1
2	2.04885332462498	30	1
2	2.37504342564483	32	1
2	2.39362034153634	34	1
2	2.42854654467515	36	1
2	2.44819703252692	38	1
2	2.48195663413741	40	1
2	20.7195266102907	42	1
3	-11.5675965052519	120	1
3	-5.19568820794525	119	1
3	-4.85503376413202	118	1
3	-4.45631749373332	117	1
3	-4.2448475156323	116	1
3	-3.96391486255042	114	1
3	-3.74696683760397	113	1
3	-3.61516262030868	109	1
3	-3.48546345752388	107	1
3	-3.41211106099384	105	1
3	-3.38002849761194	102	1
3	-3.3554442541372	98	1
3	-3.33962538096724	94	1
3	-3.2667883075432	89	1
3	-3.16965556168637	87	1
3	-3.09110349663819	83	1
3	-3.04169375761673	82	1
3	-2.86664632297177	79	1
3	-2.65618406144095	78	1
3	-2.61318650934603	75	1
3	-2.57697067529317	74	1
3	-2.51839582788423	72	1
3	-2.48175154179641	68	1
3	-2.46598017351254	66	1
3	-2.46107462058664	63	1
3	-2.37989275492801	59	1
3	-2.2809557807193	57	1
3	-2.20171293084296	53	1
3	-2.13873490868805	52	1
3	-2.06592679109671	51	1
3	-1.98390247692383	48	1
3	-1.965053174899	44	1
3	-1.95340609363795	42	1
3	-1.93410850019418	41	1
3	-1.90608007980607	39	1
3	-1.88897753589602	37	1
3	-1.76729888170129	33	1
3	-1.63344416471904	32	1
3	-1.61422493883045	31	1
3	-1.590837082589	30	1
3	-1.55129962884749	26	1
3	-1.52257993010595	25	1
3	-1.49602219431298	24	1
3	-1.46067941179357	23	1
3	-1.43664010458146	22	1
3	-1.42295011269089	21	1
3	-1.39054916994643	20	1
3	-1.36595705631602	19	1
3	-1.35852458757948	18	1
3	-1.34729580452935	17	1
3	-1.33273349991485	15	1
3	-1.31437984025648	14	1
3	-1.30298641358337	13	1
3	-1.29224202024204	11	1
3	-1.28013992561216	10	1
3	-1.26772858623649	9	1
3	-1.21426602683209	8	1
3	-1.15955167575015	5	1
3	-0.977412650815705	2	1
3	-0.750063457935635	1	1
3	8.88178419700125e-16	0	1
3	0.750063457935635	2	1
3	0.977412650815705	4	1
3	1.15955167575015	6	1
3	1.21426602683209	8	1
3	1.27228888429443	10	1
3	1.29224202024204	12	1
3	1.30298641358337	14	1
3	1.32454267001112	19	1
3	1.34729580452935	21	1
3	1.35852458757948	23	1
3	1.40363600129073	25	1
3	1.46067941179357	27	1
3	1.49602219431298	29	1
3	1.52257993010595	31	1
3	1.62865032196128	33	1
3	2.04885332462498	30	1
3	2.37504342564483	32	1
3	2.39362034153634	34	1
3	2.42854654467515	36	1
3	2.44819703252692	38	1
3	2.48195663413741	40	1
3	20.7195266102907	42	1
1	-11.5675965052519	120	2
1	-5.19568820794525	119	2
1	-4.85503376413202	118	2
1	-4.45631749373332	117	2
1	-4.2448475156323	116	2
1	-3.96391486255042	114	2
1	-3.74696683760397	113	2
1	-3.61516262030868	109	2
1	-3.48546345752388	107	2
1	-3.41211106099384	105	2
1	-3.38002849761194	102	2
1	-3.3554442541372	98	2
1	-3.33962538096724	94	2
1	-3.2667883075432	89	2
1	-3.16965556168637	87	2
1	-3.09110349663819	83	2
1	-3.04169375761673	82	2
1	-2.86664632297177	79	2
1	-2.65618406144095	78	2
1	-2.61318650934603	75	2
1	-2.57697067529317	74	2
1	-2.51839582788423	72	2
1	-2.48175154179641	68	2
1	-2.46598017351254	66	2
1	-2.46107462058664	63	2
1	-2.37989275492801	59	2
1	-2.2809557807193	57	2
1	-2.20171293084296	53	2
1	-2.13873490868805	52	2
1	-2.06592679109671	51	2
1	-1.98390247692383	48	2
1	-1.965053174899	44	2
1	-1.95340609363795	42	2
1	-1.93410850019418	41	2
1	-1.90608007980607	39	2
1	-1.88897753589602	37	2
1	-1.76729888170129	33	2
1	-1.63344416471904	32	2
1	-1.61422493883045	31	2
1	-1.590837082589	30	2
1	-1.55129962884749	26	2
1	-1.52257993010595	25	2
1	-1.49602219431298	24	2
1	-1.46067941179357	23	2
1	-1.43664010458146	22	2
1	-1.42295011269089	21	2
1	-1.39054916994643	20	2
1	-1.36595705631602	19	2
1	-1.35852458757948	18	2
1	-1.34729580452935	17	2
1	-1.33273349991485	15	2
1	-1.31437984025648	14	2
1	-1.30298641358337	13	2
1	-1.29224202024204	11	2
1	-1.28013992561216	10	2
1	-1.26772858623649	9	2
1	-1.21426602683209	8	2
1	-1.15955167575015	5	2
1	-0.977412650815705	2	2
1	-0.750063457935635	1	2
1	8.88178419700125e-16	0	2
1	0.750063457935635	0	2
1	0.977412650815705	0	2
1	1.15955167575015	0	2
1	1.21426602683209	0	2
1	1.27228888429443	0	2
1	1.29224202024204	0	2
1	1.30298641358337	0	2
1	1.32454267001112	4	2
1	1.34729580452935	4	2
1	1.35852458757948	4	2
1	1.40363600129073	4	2
1	1.46067941179357	4	2
1	1.49602219431298	4	2
1	1.52257993010595	4	2
1	1.62865032196128	4	2
1	2.04885332462498	0	2
1	2.37504342564483	0	2
