colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	1	1	initial	initial	-10	#00BFC4
#F8766D	1	1	improved	improved	-10	#F8766D
#00BFC4	1	1	initial	initial	-9.8	#00BFC4
#F8766D	1	1	improved	improved	-9.8	#F8766D
#00BFC4	1	1	initial	initial	-9.6	#00BFC4
#F8766D	1	1	improved	improved	-9.6	#F8766D
#00BFC4	1	1	initial	initial	-9.4	#00BFC4
#F8766D	1	1	improved	improved	-9.4	#F8766D
#00BFC4	1	1	initial	initial	-9.2	#00BFC4
#F8766D	1	1	improved	improved	-9.2	#F8766D
#00BFC4	1	1	initial	initial	-9	#00BFC4
#F8766D	1	1	improved	improved	-9	#F8766D
#00BFC4	1	1	initial	initial	-8.8	#00BFC4
#F8766D	1	1	improved	improved	-8.8	#F8766D
#00BFC4	1	1	initial	initial	-8.6	#00BFC4
#F8766D	1	1	improved	improved	-8.6	#F8766D
#00BFC4	1	1	initial	initial	-8.4	#00BFC4
#F8766D	1	1	improved	improved	-8.4	#F8766D
#00BFC4	1	1	initial	initial	-8.2	#00BFC4
#F8766D	1	1	improved	improved	-8.2	#F8766D
#00BFC4	1	1	initial	initial	-8	#00BFC4
#F8766D	1	1	improved	improved	-8	#F8766D
#00BFC4	1	1	initial	initial	-7.8	#00BFC4
#F8766D	1	1	improved	improved	-7.8	#F8766D
#00BFC4	1	1	initial	initial	-7.6	#00BFC4
#F8766D	1	1	improved	improved	-7.6	#F8766D
#00BFC4	1	1	initial	initial	-7.4	#00BFC4
#F8766D	1	1	improved	improved	-7.4	#F8766D
#00BFC4	1	1	initial	initial	-7.2	#00BFC4
#F8766D	1	1	improved	improved	-7.2	#F8766D
#00BFC4	1	1	initial	initial	-7	#00BFC4
#F8766D	1	1	improved	improved	-7	#F8766D
#00BFC4	1	1	initial	initial	-6.8	#00BFC4
#F8766D	1	1	improved	improved	-6.8	#F8766D
#00BFC4	1	1	initial	initial	-6.6	#00BFC4
#F8766D	1	1	improved	improved	-6.6	#F8766D
#00BFC4	1	1	initial	initial	-6.4	#00BFC4
#F8766D	1	1	improved	improved	-6.4	#F8766D
#00BFC4	1	1	initial	initial	-6.2	#00BFC4
#F8766D	1	1	improved	improved	-6.2	#F8766D
#00BFC4	1	1	initial	initial	-6	#00BFC4
#F8766D	1	1	improved	improved	-6	#F8766D
#00BFC4	1	1	initial	initial	-5.8	#00BFC4
#F8766D	1	1	improved	improved	-5.8	#F8766D
#00BFC4	1	1	initial	initial	-5.6	#00BFC4
#F8766D	1	1	improved	improved	-5.6	#F8766D
#00BFC4	1	1	initial	initial	-5.4	#00BFC4
#F8766D	1	1	improved	improved	-5.4	#F8766D
#00BFC4	1	1	initial	initial	-5.2	#00BFC4
#F8766D	1	1	improved	improved	-5.2	#F8766D
#00BFC4	1	1	initial	initial	-5	#00BFC4
#F8766D	1	1	improved	improved	-5	#F8766D
#00BFC4	0.987096774193548	1	initial	initial	-4.8	#00BFC4
#F8766D	1	1	improved	improved	-4.8	#F8766D
#00BFC4	0.987096774193548	1	initial	initial	-4.6	#00BFC4
#F8766D	0.987096774193548	1	improved	improved	-4.6	#F8766D
#00BFC4	0.974193548387097	1	initial	initial	-4.4	#00BFC4
#F8766D	0.974193548387097	1	improved	improved	-4.4	#F8766D
#00BFC4	0.974193548387097	1	initial	initial	-4.2	#00BFC4
#F8766D	0.974193548387097	1	improved	improved	-4.2	#F8766D
#00BFC4	0.92258064516129	1	initial	initial	-4	#00BFC4
#F8766D	0.92258064516129	1	improved	improved	-4	#F8766D
#00BFC4	0.883870967741936	1	initial	initial	-3.8	#00BFC4
#F8766D	0.883870967741936	1	improved	improved	-3.8	#F8766D
#00BFC4	0.883870967741936	1	initial	initial	-3.6	#00BFC4
#F8766D	0.883870967741936	1	improved	improved	-3.6	#F8766D
#00BFC4	0.858064516129032	1	initial	initial	-3.4	#00BFC4
#F8766D	0.858064516129032	1	improved	improved	-3.4	#F8766D
#00BFC4	0.8	1	initial	initial	-3.2	#00BFC4
#F8766D	0.8	1	improved	improved	-3.2	#F8766D
#00BFC4	0.754838709677419	1	initial	initial	-3	#00BFC4
#F8766D	0.754838709677419	1	improved	improved	-3	#F8766D
#00BFC4	0.741935483870968	1	initial	initial	-2.8	#00BFC4
#F8766D	0.741935483870968	1	improved	improved	-2.8	#F8766D
#00BFC4	0.72258064516129	1	initial	initial	-2.6	#00BFC4
#F8766D	0.72258064516129	1	improved	improved	-2.6	#F8766D
#00BFC4	0.658064516129032	1	initial	initial	-2.4	#00BFC4
#F8766D	0.658064516129032	1	improved	improved	-2.4	#F8766D
#00BFC4	0.6	1	initial	initial	-2.2	#00BFC4
#F8766D	0.6	1	improved	improved	-2.2	#F8766D
#00BFC4	0.470967741935484	1	initial	initial	-2	#00BFC4
#F8766D	0.483870967741936	1	improved	improved	-2	#F8766D
#00BFC4	0.419354838709677	1	initial	initial	-1.8	#00BFC4
#F8766D	0.419354838709677	1	improved	improved	-1.8	#F8766D
#00BFC4	0.303225806451613	1	initial	initial	-1.6	#00BFC4
#F8766D	0.303225806451613	1	improved	improved	-1.6	#F8766D
#00BFC4	0.245161290322581	1	initial	initial	-1.4	#00BFC4
#F8766D	0.232258064516129	1	improved	improved	-1.4	#F8766D
#00BFC4	0.193548387096774	1	initial	initial	-1.2	#00BFC4
#F8766D	0.193548387096774	1	improved	improved	-1.2	#F8766D
#00BFC4	0.129032258064516	0.986486486486486	initial	initial	-1	#00BFC4
#F8766D	0.12258064516129	0.986486486486486	improved	improved	-1	#F8766D
#00BFC4	0.116129032258065	0.986486486486486	initial	initial	-0.799999999999999	#00BFC4
#F8766D	0.116129032258065	0.986486486486486	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.103225806451613	0.986486486486486	initial	initial	-0.6	#00BFC4
#F8766D	0.0967741935483871	0.986486486486486	improved	improved	-0.6	#F8766D
#00BFC4	0.0838709677419355	0.986486486486486	initial	initial	-0.399999999999999	#00BFC4
#F8766D	0.0838709677419355	0.986486486486486	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.0451612903225806	0.986486486486486	initial	initial	-0.199999999999999	#00BFC4
#F8766D	0.0451612903225806	0.986486486486486	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.0129032258064516	0.986486486486486	initial	initial	0	#00BFC4
#F8766D	0.0129032258064516	0.986486486486486	improved	improved	0	#F8766D
#00BFC4	0.00645161290322581	0.945945945945946	initial	initial	0.200000000000001	#00BFC4
#F8766D	0	0.945945945945946	improved	improved	0.200000000000001	#F8766D
#00BFC4	0	0.864864864864865	initial	initial	0.4	#00BFC4
#F8766D	0	0.864864864864865	improved	improved	0.4	#F8766D
#00BFC4	0	0.810810810810811	initial	initial	0.600000000000001	#00BFC4
#F8766D	0	0.810810810810811	improved	improved	0.600000000000001	#F8766D
#00BFC4	0	0.756756756756757	initial	initial	0.800000000000001	#00BFC4
#F8766D	0	0.756756756756757	improved	improved	0.800000000000001	#F8766D
#00BFC4	0	0.648648648648649	initial	initial	1	#00BFC4
#F8766D	0	0.675675675675676	improved	improved	1	#F8766D
#00BFC4	0	0.540540540540541	initial	initial	1.2	#00BFC4
#F8766D	0	0.540540540540541	improved	improved	1.2	#F8766D
#00BFC4	0	0.486486486486487	initial	initial	1.4	#00BFC4
#F8766D	0	0.486486486486487	improved	improved	1.4	#F8766D
#00BFC4	0	0.432432432432432	initial	initial	1.6	#00BFC4
#F8766D	0	0.432432432432432	improved	improved	1.6	#F8766D
#00BFC4	0	0.432432432432432	initial	initial	1.8	#00BFC4
#F8766D	0	0.432432432432432	improved	improved	1.8	#F8766D
#00BFC4	0	0.243243243243243	initial	initial	2	#00BFC4
#F8766D	0	0.243243243243243	improved	improved	2	#F8766D
#00BFC4	0	0.162162162162162	initial	initial	2.2	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	2.2	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	2.4	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	2.4	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	2.6	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	2.6	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	2.8	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	2.8	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	3	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	3	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	3.2	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	3.2	#F8766D
#00BFC4	0	0.135135135135135	initial	initial	3.4	#00BFC4
#F8766D	0	0.135135135135135	improved	improved	3.4	#F8766D
#00BFC4	0	0.0810810810810811	initial	initial	3.6	#00BFC4
#F8766D	0	0.0810810810810811	improved	improved	3.6	#F8766D
#00BFC4	0	0	initial	initial	3.8	#00BFC4
#F8766D	0	0	improved	improved	3.8	#F8766D
#00BFC4	0	0	initial	initial	4	#00BFC4
#F8766D	0	0	improved	improved	4	#F8766D
#00BFC4	0	0	initial	initial	4.2	#00BFC4
#F8766D	0	0	improved	improved	4.2	#F8766D
#00BFC4	0	0	initial	initial	4.4	#00BFC4
#F8766D	0	0	improved	improved	4.4	#F8766D
#00BFC4	0	0	initial	initial	4.6	#00BFC4
#F8766D	0	0	improved	improved	4.6	#F8766D
