colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	1	1	initial	initial	-10	#00BFC4
#F8766D	1	1	improved	improved	-10	#F8766D
#00BFC4	1	1	initial	initial	-9.8	#00BFC4
#F8766D	1	1	improved	improved	-9.8	#F8766D
#00BFC4	1	1	initial	initial	-9.6	#00BFC4
#F8766D	1	1	improved	improved	-9.6	#F8766D
#00BFC4	1	1	initial	initial	-9.4	#00BFC4
#F8766D	1	1	improved	improved	-9.4	#F8766D
#00BFC4	1	1	initial	initial	-9.2	#00BFC4
#F8766D	1	1	improved	improved	-9.2	#F8766D
#00BFC4	1	1	initial	initial	-9	#00BFC4
#F8766D	1	1	improved	improved	-9	#F8766D
#00BFC4	1	1	initial	initial	-8.8	#00BFC4
#F8766D	1	1	improved	improved	-8.8	#F8766D
#00BFC4	1	1	initial	initial	-8.6	#00BFC4
#F8766D	1	1	improved	improved	-8.6	#F8766D
#00BFC4	1	1	initial	initial	-8.4	#00BFC4
#F8766D	1	1	improved	improved	-8.4	#F8766D
#00BFC4	1	1	initial	initial	-8.2	#00BFC4
#F8766D	1	1	improved	improved	-8.2	#F8766D
#00BFC4	1	1	initial	initial	-8	#00BFC4
#F8766D	1	1	improved	improved	-8	#F8766D
#00BFC4	1	1	initial	initial	-7.8	#00BFC4
#F8766D	1	1	improved	improved	-7.8	#F8766D
#00BFC4	1	1	initial	initial	-7.6	#00BFC4
#F8766D	1	1	improved	improved	-7.6	#F8766D
#00BFC4	1	1	initial	initial	-7.4	#00BFC4
#F8766D	1	1	improved	improved	-7.4	#F8766D
#00BFC4	1	1	initial	initial	-7.2	#00BFC4
#F8766D	1	1	improved	improved	-7.2	#F8766D
#00BFC4	1	1	initial	initial	-7	#00BFC4
#F8766D	1	1	improved	improved	-7	#F8766D
#00BFC4	1	1	initial	initial	-6.8	#00BFC4
#F8766D	1	1	improved	improved	-6.8	#F8766D
#00BFC4	1	1	initial	initial	-6.6	#00BFC4
#F8766D	1	1	improved	improved	-6.6	#F8766D
#00BFC4	1	1	initial	initial	-6.4	#00BFC4
#F8766D	1	1	improved	improved	-6.4	#F8766D
#00BFC4	1	1	initial	initial	-6.2	#00BFC4
#F8766D	1	1	improved	improved	-6.2	#F8766D
#00BFC4	1	1	initial	initial	-6	#00BFC4
#F8766D	1	1	improved	improved	-6	#F8766D
#00BFC4	1	1	initial	initial	-5.8	#00BFC4
#F8766D	1	1	improved	improved	-5.8	#F8766D
#00BFC4	1	1	initial	initial	-5.6	#00BFC4
#F8766D	1	1	improved	improved	-5.6	#F8766D
#00BFC4	1	1	initial	initial	-5.4	#00BFC4
#F8766D	1	1	improved	improved	-5.4	#F8766D
#00BFC4	1	1	initial	initial	-5.2	#00BFC4
#F8766D	1	1	improved	improved	-5.2	#F8766D
#00BFC4	0.99537037037037	1	initial	initial	-5	#00BFC4
#F8766D	0.997685185185185	1	improved	improved	-5	#F8766D
#00BFC4	0.99537037037037	1	initial	initial	-4.8	#00BFC4
#F8766D	0.997685185185185	1	improved	improved	-4.8	#F8766D
#00BFC4	0.993055555555556	1	initial	initial	-4.6	#00BFC4
#F8766D	0.997685185185185	1	improved	improved	-4.6	#F8766D
#00BFC4	0.988425925925926	1	initial	initial	-4.4	#00BFC4
#F8766D	0.993055555555556	1	improved	improved	-4.4	#F8766D
#00BFC4	0.979166666666667	1	initial	initial	-4.2	#00BFC4
#F8766D	0.986111111111111	1	improved	improved	-4.2	#F8766D
#00BFC4	0.974537037037037	1	initial	initial	-4	#00BFC4
#F8766D	0.986111111111111	1	improved	improved	-4	#F8766D
#00BFC4	0.965277777777778	1	initial	initial	-3.8	#00BFC4
#F8766D	0.974537037037037	1	improved	improved	-3.8	#F8766D
#00BFC4	0.965277777777778	1	initial	initial	-3.6	#00BFC4
#F8766D	0.965277777777778	1	improved	improved	-3.6	#F8766D
#00BFC4	0.946759259259259	1	initial	initial	-3.4	#00BFC4
#F8766D	0.946759259259259	1	improved	improved	-3.4	#F8766D
#00BFC4	0.935185185185185	0.984375	initial	initial	-3.2	#00BFC4
#F8766D	0.93287037037037	1	improved	improved	-3.2	#F8766D
#00BFC4	0.916666666666667	0.984375	initial	initial	-3	#00BFC4
#F8766D	0.914351851851852	1	improved	improved	-3	#F8766D
#00BFC4	0.840277777777778	0.96875	initial	initial	-2.8	#00BFC4
#F8766D	0.840277777777778	1	improved	improved	-2.8	#F8766D
#00BFC4	0.819444444444445	0.96875	initial	initial	-2.6	#00BFC4
#F8766D	0.821759259259259	1	improved	improved	-2.6	#F8766D
#00BFC4	0.773148148148148	0.96875	initial	initial	-2.4	#00BFC4
#F8766D	0.768518518518519	1	improved	improved	-2.4	#F8766D
#00BFC4	0.708333333333333	0.96875	initial	initial	-2.2	#00BFC4
#F8766D	0.717592592592593	1	improved	improved	-2.2	#F8766D
#00BFC4	0.634259259259259	0.96875	initial	initial	-2	#00BFC4
#F8766D	0.643518518518519	1	improved	improved	-2	#F8766D
#00BFC4	0.611111111111111	0.9375	initial	initial	-1.8	#00BFC4
#F8766D	0.625	0.984375	improved	improved	-1.8	#F8766D
#00BFC4	0.525462962962963	0.921875	initial	initial	-1.6	#00BFC4
#F8766D	0.537037037037037	0.984375	improved	improved	-1.6	#F8766D
#00BFC4	0.476851851851852	0.921875	initial	initial	-1.4	#00BFC4
#F8766D	0.509259259259259	0.984375	improved	improved	-1.4	#F8766D
#00BFC4	0.400462962962963	0.921875	initial	initial	-1.2	#00BFC4
#F8766D	0.465277777777778	0.921875	improved	improved	-1.2	#F8766D
#00BFC4	0.326388888888889	0.921875	initial	initial	-1	#00BFC4
#F8766D	0.402777777777778	0.921875	improved	improved	-1	#F8766D
#00BFC4	0.233796296296296	0.921875	initial	initial	-0.799999999999999	#00BFC4
#F8766D	0.314814814814815	0.921875	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.194444444444444	0.921875	initial	initial	-0.6	#00BFC4
#F8766D	0.261574074074074	0.890625	improved	improved	-0.6	#F8766D
#00BFC4	0.175925925925926	0.921875	initial	initial	-0.399999999999999	#00BFC4
#F8766D	0.238425925925926	0.859375	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.118055555555556	0.921875	initial	initial	-0.199999999999999	#00BFC4
#F8766D	0.212962962962963	0.84375	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.104166666666667	0.921875	initial	initial	0	#00BFC4
#F8766D	0.178240740740741	0.8125	improved	improved	0	#F8766D
#00BFC4	0.101851851851852	0.8515625	initial	initial	0.200000000000001	#00BFC4
#F8766D	0.143518518518519	0.7734375	improved	improved	0.200000000000001	#F8766D
#00BFC4	0.106481481481481	0.703125	initial	initial	0.4	#00BFC4
#F8766D	0.0439814814814815	0.671875	improved	improved	0.4	#F8766D
#00BFC4	0.099537037037037	0.6171875	initial	initial	0.600000000000001	#00BFC4
#F8766D	0.037037037037037	0.6171875	improved	improved	0.600000000000001	#F8766D
#00BFC4	0.0949074074074074	0.4921875	initial	initial	0.800000000000001	#00BFC4
#F8766D	0.025462962962963	0.5	improved	improved	0.800000000000001	#F8766D
#00BFC4	0.0810185185185185	0.4296875	initial	initial	1	#00BFC4
#F8766D	0.00925925925925926	0.4375	improved	improved	1	#F8766D
#00BFC4	0.0740740740740741	0.3203125	initial	initial	1.2	#00BFC4
#F8766D	0	0.3515625	improved	improved	1.2	#F8766D
#00BFC4	0.0509259259259259	0.2421875	initial	initial	1.4	#00BFC4
#F8766D	0.00694444444444444	0.28125	improved	improved	1.4	#F8766D
#00BFC4	0.0509259259259259	0.203125	initial	initial	1.6	#00BFC4
#F8766D	0.00694444444444444	0.2421875	improved	improved	1.6	#F8766D
#00BFC4	0.0486111111111111	0.1640625	initial	initial	1.8	#00BFC4
#F8766D	0.00694444444444444	0.21875	improved	improved	1.8	#F8766D
#00BFC4	0.0462962962962963	0.1328125	initial	initial	2	#00BFC4
#F8766D	0.0115740740740741	0.1796875	improved	improved	2	#F8766D
#00BFC4	0.0185185185185185	0.1171875	initial	initial	2.2	#00BFC4
#F8766D	0.0115740740740741	0.15625	improved	improved	2.2	#F8766D
#00BFC4	0.0162037037037037	0.1171875	initial	initial	2.4	#00BFC4
#F8766D	0.0115740740740741	0.15625	improved	improved	2.4	#F8766D
#00BFC4	0.00462962962962963	0.1171875	initial	initial	2.6	#00BFC4
#F8766D	0.00462962962962963	0.140625	improved	improved	2.6	#F8766D
#00BFC4	0.00462962962962963	0.1015625	initial	initial	2.8	#00BFC4
#F8766D	0.00462962962962963	0.140625	improved	improved	2.8	#F8766D
#00BFC4	0.00462962962962963	0.0703125	initial	initial	3	#00BFC4
#F8766D	0.00462962962962963	0.0703125	improved	improved	3	#F8766D
#00BFC4	0.00462962962962963	0.015625	initial	initial	3.2	#00BFC4
#F8766D	0.00462962962962963	0.03125	improved	improved	3.2	#F8766D
#00BFC4	0.00462962962962963	0.0078125	initial	initial	3.4	#00BFC4
#F8766D	0.00462962962962963	0.0078125	improved	improved	3.4	#F8766D
#00BFC4	0.00462962962962963	0.0078125	initial	initial	3.6	#00BFC4
#F8766D	0.00462962962962963	0	improved	improved	3.6	#F8766D
#00BFC4	0.00462962962962963	0.0078125	initial	initial	3.8	#00BFC4
#F8766D	0.00462962962962963	0	improved	improved	3.8	#F8766D
#00BFC4	0.00462962962962963	0	initial	initial	4	#00BFC4
